ht,it,od digital,od analog,od mid,mx,my,mz,dt,v.x,v.y,p.x,p.y,p.z,mx_max,my_max,mz_max,mx_min,my_min,mz_min,mx_bias,my_bias,mz_bias,head,dhead,headingChange
163,162,1,1,591,-69,20,3,30,0.07,0,10.69,-1.89,0,7,9,5,-7,-8,-4,-69,14,1,90,356.69,-93.31
164,163,1,0,197,-70,21,3,31,0.07,0.01,10.76,-1.88,0,7,9,5,-7,-8,-4,-69,14,1,78.69,356.36,-82.33
164,164,0,1,875,-69,19,1,31,0,0,10.76,-1.88,0,7,9,5,-7,-8,-4,-69,14,1,90,356.36,-93.64
165,164,1,0,196,-70,21,3,31,0.07,0.01,10.83,-1.86,0,7,9,5,-7,-8,-4,-69,14,1,78.69,356.02,-82.67
166,165,1,1,857,-69,22,3,30,0.07,0,10.9,-1.86,0,7,9,5,-7,-8,-4,-69,14,1,90,355.68,-94.32
167,166,1,0,201,-71,22,2,31,0.07,0.02,10.96,-1.84,0,7,9,5,-7,-8,-4,-69,14,1,71.57,355.35,-76.22
168,167,1,0,203,-69,20,4,31,0.07,0,11.03,-1.84,0,7,9,5,-7,-8,-4,-69,14,1,90,355.01,-94.99
168,168,0,1,875,-68,22,4,30,0,0,11.03,-1.84,0,7,9,5,-7,-8,-4,-69,14,1,99.46,355.01,-104.45
169,168,1,0,199,-70,21,5,31,0.07,0.01,11.1,-1.83,0,7,9,5,-7,-8,-4,-69,14,1,78.69,354.67,-84.02
170,169,1,1,879,-70,21,2,31,0.07,0.01,11.17,-1.81,0,7,9,5,-7,-8,-4,-69,14,1,78.69,354.33,-84.36
171,170,1,0,197,-70,20,4,31,0.07,0.02,11.24,-1.8,0,7,9,5,-7,-8,-4,-69,14,1,75.96,354,-81.97
172,171,1,0,201,-69,21,3,30,0.07,0,11.31,-1.8,0,7,9,5,-7,-8,-4,-69,14,1,90,353.66,-96.34
173,172,1,1,881,-69,21,3,31,0.07,0,11.38,-1.8,0,7,9,5,-7,-8,-4,-69,14,1,90,353.32,-96.68
173,173,0,0,208,-68,20,4,31,0,0,11.38,-1.8,0,7,9,5,-7,-8,-4,-69,14,1,104.04,353.32,-110.72
174,173,1,1,881,-66,21,2,30,0.06,-0.04,11.44,-1.83,0,7,9,5,-7,-8,-4,-69,14,1,120.96,353.05,-127.91
175,174,1,0,208,-69,20,2,31,0.07,0,11.51,-1.83,0,7,9,5,-7,-8,-4,-69,14,1,90,352.72,-97.28
176,175,1,1,864,-68,20,3,31,0.07,-0.02,11.58,-1.85,0,7,9,5,-7,-8,-4,-69,14,1,104.04,352.4,-111.64
177,176,1,1,607,-68,19,2,31,0.07,-0.02,11.65,-1.87,0,7,9,5,-7,-8,-4,-69,14,1,108.43,352.1,-116.34
178,177,1,0,206,-70,20,3,30,0.07,0.02,11.72,-1.85,0,7,9,5,-7,-8,-4,-69,14,1,75.96,351.76,-84.2
178,178,0,1,883,-68,20,3,31,0,0,11.72,-1.85,0,7,9,5,-7,-8,-4,-69,14,1,104.04,351.76,-112.27
179,178,1,0,206,-70,21,3,31,0.07,0.01,11.79,-1.84,0,7,9,5,-7,-8,-4,-69,14,1,78.69,351.43,-87.26
180,179,1,1,879,-69,23,1,31,0.07,0,11.86,-1.84,0,7,9,5,-7,-8,-4,-69,14,1,90,351.09,-98.91
181,180,1,0,205,-71,20,3,30,0.06,0.03,11.92,-1.81,0,7,9,5,-7,-8,-4,-69,14,1,63.43,350.77,-72.66
182,181,1,1,586,-71,20,4,31,0.06,0.03,11.98,-1.78,0,7,9,5,-7,-8,-4,-69,14,1,63.43,350.45,-72.99
183,182,1,1,852,-69,20,2,31,0.07,0,12.05,-1.78,0,7,9,5,-7,-8,-4,-69,14,1,90,350.11,-99.89
183,183,0,0,205,-69,21,2,30,0,0,12.05,-1.78,0,7,9,5,-7,-8,-4,-69,14,1,90,350.11,-99.89
184,183,1,1,884,-70,20,3,31,0.07,0.02,12.12,-1.76,0,7,9,5,-7,-8,-4,-69,14,1,75.96,349.78,-86.19
185,184,1,0,203,-69,19,4,31,0.07,0,12.19,-1.76,0,7,9,5,-7,-8,-4,-69,14,1,90,349.44,-100.56
186,185,1,1,873,-69,20,5,31,0.07,0,12.26,-1.76,0,7,9,5,-7,-8,-4,-69,14,1,90,349.11,-100.89
187,186,1,1,542,-69,19,5,30,0.07,0,12.33,-1.76,0,7,9,5,-7,-8,-4,-69,14,1,90,348.78,-101.22
188,187,1,0,202,-70,21,3,31,0.07,0.01,12.4,-1.75,0,7,9,5,-7,-8,-4,-69,14,1,78.69,348.44,-90.25
188,188,0,1,878,-69,20,3,31,0,0,12.4,-1.75,0,7,9,5,-7,-8,-4,-69,14,1,90,348.44,-101.56
189,188,1,0,203,-69,22,2,30,0.07,0,12.47,-1.75,0,7,9,5,-7,-8,-4,-69,14,1,90,348.11,-101.89
190,189,1,1,877,-69,20,3,31,0.07,0,12.54,-1.75,0,7,9,5,-7,-8,-4,-69,14,1,90,347.79,-102.21
191,190,1,0,200,-69,23,1,31,0.07,0,12.61,-1.75,0,7,9,5,-7,-8,-4,-69,14,1,90,347.46,-102.54
192,191,1,1,629,-69,23,3,31,0.07,0,12.68,-1.75,0,7,9,5,-7,-8,-4,-69,14,1,90,347.13,-102.87
193,192,1,1,721,-68,21,2,30,0.07,-0.01,12.75,-1.76,0,7,9,5,-7,-8,-4,-69,14,1,101.31,346.82,-114.49
193,193,0,0,199,-69,22,1,31,0,0,12.75,-1.76,0,7,9,5,-7,-8,-4,-69,14,1,90,346.82,-103.18
194,193,1,1,875,-70,18,4,31,0.07,0.02,12.82,-1.74,0,7,9,5,-7,-8,-4,-69,14,1,71.57,346.49,-85.07
195,194,1,0,197,-70,19,3,30,0.07,0.02,12.89,-1.72,0,7,9,5,-7,-8,-4,-69,14,1,71.57,346.16,-85.41
196,195,1,1,869,-69,21,2,31,0.07,0,12.96,-1.72,0,7,9,5,-7,-8,-4,-69,14,1,90,345.83,-104.17
197,196,1,1,492,-69,22,3,31,0.07,0,13.03,-1.72,0,7,9,5,-7,-8,-4,-69,14,1,90,345.51,-104.49
198,197,1,0,196,-69,20,4,31,0.07,0,13.1,-1.72,0,7,9,5,-7,-8,-4,-69,14,1,90,345.19,-104.81
198,198,0,1,875,-71,21,4,30,0,0,13.1,-1.72,0,7,9,5,-7,-8,-4,-69,14,1,68.2,345.19,-83.01
199,198,1,0,217,-70,21,3,31,0.07,0.01,13.17,-1.7,0,7,9,5,-7,-8,-4,-69,14,1,78.69,344.85,-93.84
200,199,1,1,876,-70,21,2,31,0.07,0.01,13.24,-1.69,0,7,9,5,-7,-8,-4,-69,14,1,78.69,344.52,-94.17
201,200,1,0,202,-71,21,2,31,0.07,0.03,13.3,-1.66,0,7,9,5,-7,-8,-4,-69,14,1,68.2,344.19,-84.01
202,201,1,0,203,-69,20,3,30,0.07,0,13.37,-1.66,0,7,9,5,-7,-8,-4,-69,14,1,90,343.87,-106.13
203,202,1,1,878,-70,20,4,31,0.07,0.02,13.44,-1.65,0,7,9,5,-7,-8,-4,-69,14,1,75.96,343.54,-92.43
203,203,0,0,200,-70,20,3,31,0,0,13.44,-1.65,0,7,9,5,-7,-8,-4,-69,14,1,75.96,343.54,-92.43
204,203,1,1,883,-70,22,5,30,0.07,0.01,13.51,-1.63,0,7,9,5,-7,-8,-4,-69,14,1,80.54,343.21,-97.33
205,204,1,0,199,-71,19,1,31,0.06,0.04,13.57,-1.59,0,7,9,5,-7,-8,-4,-69,14,1,56.31,342.89,-73.42
206,205,1,1,870,-69,21,2,31,0.07,0,13.64,-1.59,0,7,9,5,-7,-8,-4,-69,14,1,90,342.57,-107.43
207,206,1,0,200,-71,20,2,31,0.06,0.03,13.7,-1.56,0,7,9,5,-7,-8,-4,-69,14,1,63.43,342.24,-81.19
208,207,1,0,198,-67,20,3,30,0.06,-0.03,13.77,-1.59,0,7,9,5,-7,-8,-4,-69,14,1,116.57,342,-134.56
209,208,1,1,881,-71,20,3,31,0.06,0.03,13.83,-1.56,0,7,9,5,-7,-8,-4,-69,14,1,63.43,341.68,-81.76
209,209,0,0,199,-70,21,3,31,0,0,13.83,-1.56,0,7,9,5,-7,-8,-4,-69,14,1,78.69,341.68,-97.01
210,209,1,1,878,-70,20,5,30,0.07,0.02,13.9,-1.55,0,7,9,5,-7,-8,-4,-69,14,1,75.96,341.35,-94.62
211,210,1,0,197,-70,19,1,31,0.07,0.02,13.96,-1.52,0,7,9,5,-7,-8,-4,-69,14,1,71.57,341.01,-90.55
212,211,1,1,868,-70,20,2,31,0.07,0.02,14.03,-1.51,0,7,9,5,-7,-8,-4,-69,14,1,75.96,340.68,-95.28
213,212,1,1,588,-68,21,1,31,0.07,-0.01,14.1,-1.52,0,7,9,5,-7,-8,-4,-69,14,1,101.31,340.4,-120.91
214,213,1,0,197,-70,18,3,30,0.07,0.02,14.17,-1.5,0,7,9,5,-7,-8,-4,-69,14,1,71.57,340.07,-91.5
214,214,0,1,868,-69,21,1,31,0,0,14.17,-1.5,0,7,9,5,-7,-8,-4,-69,14,1,90,340.07,-109.93
215,214,1,0,205,-70,21,3,31,0.07,0.01,14.24,-1.48,0,7,9,5,-7,-8,-4,-69,14,1,78.69,339.74,-98.95
216,215,1,1,877,-68,21,3,30,0.07,-0.01,14.31,-1.5,0,7,9,5,-7,-8,-4,-69,14,1,101.31,339.46,-121.85
217,216,1,0,199,-69,22,3,31,0.07,0,14.38,-1.5,0,7,9,5,-7,-8,-4,-69,14,1,90,339.16,-110.84
218,217,1,1,529,-69,19,4,31,0.07,0,14.45,-1.5,0,7,9,5,-7,-8,-4,-69,14,1,90,338.85,-111.15
219,218,1,1,799,-68,21,3,31,0.07,-0.01,14.52,-1.51,0,7,9,5,-7,-8,-4,-69,14,1,101.31,338.57,-122.74
219,219,0,0,197,-67,20,4,30,0,0,14.52,-1.51,0,7,9,5,-7,-8,-4,-69,14,1,116.57,338.57,-137.99
220,219,1,1,879,-69,18,3,31,0.07,0,14.59,-1.51,0,7,9,5,-7,-8,-4,-69,14,1,90,338.27,-111.73
221,220,1,0,202,-68,20,2,31,0.07,-0.02,14.66,-1.53,0,7,9,5,-7,-8,-4,-69,14,1,104.04,338.01,-126.03
222,221,1,1,857,-70,19,3,31,0.07,0.02,14.72,-1.51,0,7,9,5,-7,-8,-4,-69,14,1,71.57,337.68,-93.88
223,222,1,1,506,-70,20,4,30,0.07,0.02,14.79,-1.49,0,7,9,5,-7,-8,-4,-69,14,1,75.96,337.36,-98.6
224,223,1,0,193,-69,19,3,31,0.07,0,14.86,-1.49,0,7,9,5,-7,-8,-4,-69,14,1,90,337.06,-112.94
224,224,0,1,878,-69,22,3,31,0,0,14.86,-1.49,0,7,9,5,-7,-8,-4,-69,14,1,90,337.06,-112.94
225,224,1,0,193,-68,21,4,30,0.07,-0.01,14.93,-1.5,0,7,9,5,-7,-8,-4,-69,14,1,101.31,336.79,-124.52
226,225,1,1,874,-69,20,3,31,0.07,0,15,-1.5,0,7,9,5,-7,-8,-4,-69,14,1,90,336.5,-113.5
227,226,1,0,193,-71,22,3,31,0.07,0.02,15.07,-1.48,0,7,9,5,-7,-8,-4,-69,14,1,71.57,336.18,-95.39
228,227,1,1,658,-68,19,3,31,0.07,-0.02,15.14,-1.5,0,7,9,5,-7,-8,-4,-69,14,1,108.43,335.94,-132.49
229,228,1,1,692,-68,21,4,30,0.07,-0.01,15.21,-1.52,0,7,9,5,-7,-8,-4,-69,14,1,101.31,335.68,-125.63
229,229,0,0,193,-69,21,3,31,0,0,15.21,-1.52,0,7,9,5,-7,-8,-4,-69,14,1,90,335.68,-114.32
230,229,1,1,879,-69,21,2,31,0.07,0,15.28,-1.52,0,7,9,5,-7,-8,-4,-69,14,1,90,335.39,-114.61
231,230,1,0,193,-71,21,2,30,0.07,0.03,15.34,-1.49,0,7,9,5,-7,-8,-4,-69,14,1,68.2,335.07,-93.13
232,231,1,1,866,-68,22,3,31,0.07,-0.01,15.41,-1.5,0,7,9,5,-7,-8,-4,-69,14,1,99.46,334.81,-124.65
233,232,1,0,194,-69,20,4,31,0.07,0,15.48,-1.5,0,7,9,5,-7,-8,-4,-69,14,1,90,334.52,-115.48
234,233,1,0,193,-70,23,3,31,0.07,0.01,15.55,-1.49,0,7,9,5,-7,-8,-4,-69,14,1,81.87,334.22,-107.65
235,234,1,1,879,-69,22,1,30,0.07,0,15.62,-1.49,0,7,9,5,-7,-8,-4,-69,14,1,90,333.93,-116.07
235,235,0,0,198,-70,21,2,31,0,0,15.62,-1.49,0,7,9,5,-7,-8,-4,-69,14,1,78.69,333.93,-104.76
236,235,1,1,879,-71,21,3,31,0.07,0.03,15.69,-1.47,0,7,9,5,-7,-8,-4,-69,14,1,68.2,333.62,-94.58
237,236,1,0,191,-70,20,4,30,0.07,0.02,15.76,-1.45,0,7,9,5,-7,-8,-4,-69,14,1,75.96,333.31,-102.65
238,237,1,1,871,-68,20,2,31,0.07,-0.02,15.82,-1.47,0,7,9,5,-7,-8,-4,-69,14,1,104.04,333.07,-130.96
239,238,1,1,536,-70,21,2,31,0.07,0.01,15.89,-1.45,0,7,9,5,-7,-8,-4,-69,14,1,78.69,332.77,-105.92
240,239,1,0,202,-69,21,3,31,0.07,0,15.96,-1.45,0,7,9,5,-7,-8,-4,-69,14,1,90,332.49,-117.51
240,240,0,1,876,-71,21,4,30,0,0,15.96,-1.45,0,7,9,5,-7,-8,-4,-69,14,1,68.2,332.49,-95.71
241,240,1,0,197,-71,21,4,31,0.07,0.03,16.03,-1.43,0,7,9,5,-7,-8,-4,-69,14,1,68.2,332.18,-96.02
242,241,1,1,872,-70,20,2,31,0.07,0.02,16.1,-1.41,0,7,9,5,-7,-8,-4,-69,14,1,75.96,331.88,-104.09
243,242,1,0,196,-72,21,4,31,0.06,0.04,16.16,-1.37,0,7,9,5,-7,-8,-4,-69,14,1,59.04,331.57,-87.47
244,243,1,1,750,-70,19,1,30,0.07,0.02,16.22,-1.35,0,7,9,5,-7,-8,-4,-69,14,1,71.57,331.26,-100.31
245,244,1,1,620,-70,20,3,31,0.07,0.02,16.29,-1.33,0,7,9,5,-7,-8,-4,-69,14,1,75.96,330.96,-105.01
245,245,0,0,190,-70,18,3,31,0,0,16.29,-1.33,0,7,9,5,-7,-8,-4,-69,14,1,71.57,330.96,-100.61
246,245,1,1,878,-70,21,3,30,0.07,0.01,16.36,-1.32,0,7,9,5,-7,-8,-4,-69,14,1,78.69,330.66,-108.03
247,246,1,0,188,-69,22,5,31,0.07,0,16.43,-1.32,0,7,9,5,-7,-8,-4,-69,14,1,90,330.39,-119.61
248,247,1,1,856,-70,23,3,31,0.07,0.01,16.5,-1.31,0,7,9,5,-7,-8,-4,-69,14,1,81.87,330.1,-111.77
249,248,1,0,192,-69,20,4,31,0.07,0,16.57,-1.31,0,7,9,5,-7,-8,-4,-69,14,1,90,329.83,-120.17
250,249,1,0,188,-71,20,4,30,0.06,0.03,16.64,-1.28,0,7,9,5,-7,-8,-4,-69,14,1,63.43,329.53,-93.91
250,250,0,1,877,-72,19,5,31,0,0,16.64,-1.28,0,7,9,5,-7,-8,-4,-69,14,1,45,329.53,-75.47
251,250,1,0,192,-70,23,3,31,0.07,0.01,16.71,-1.27,0,7,9,5,-7,-8,-4,-69,14,1,81.87,329.24,-112.63
252,251,1,1,878,-70,21,3,30,0.07,0.01,16.78,-1.25,0,7,9,5,-7,-8,-4,-69,14,1,78.69,328.95,-109.74
253,252,1,0,188,-71,22,4,31,0.07,0.02,16.84,-1.23,0,7,9,5,-7,-8,-4,-69,14,1,71.57,328.65,-102.91
254,253,1,1,858,-70,20,4,31,0.07,0.02,16.91,-1.21,0,7,9,5,-7,-8,-4,-69,14,1,75.96,328.36,-107.61
255,254,1,1,561,-70,19,4,31,0.07,0.02,16.98,-1.19,0,7,9,5,-7,-8,-4,-69,14,1,71.57,328.06,-103.51
256,255,1,0,187,-68,21,3,30,0.07,-0.01,17.05,-1.21,0,7,9,5,-7,-8,-4,-69,14,1,101.31,327.84,-133.47
256,256,0,1,873,-68,22,3,31,0,0,17.05,-1.21,0,7,9,5,-7,-8,-4,-69,14,1,99.46,327.84,-131.62
257,256,1,0,187,-70,21,2,31,0.07,0.01,17.12,-1.19,0,7,9,5,-7,-8,-4,-69,14,1,78.69,327.55,-111.14
258,257,1,1,872,-71,23,2,30,0.07,0.02,17.18,-1.17,0,7,9,5,-7,-8,-4,-69,14,1,74.05,327.26,-106.79
259,258,1,0,187,-70,22,3,31,0.07,0.01,17.25,-1.16,0,7,9,5,-7,-8,-4,-69,14,1,80.54,326.98,-113.56
260,259,1,1,824,-68,20,3,31,0.07,-0.02,17.32,-1.18,0,7,9,5,-7,-8,-4,-69,14,1,104.04,326.78,-137.26
261,260,1,1,594,-71,20,4,31,0.06,0.03,17.38,-1.15,0,7,9,5,-7,-8,-4,-69,14,1,63.43,326.48,-96.96
261,261,0,0,186,-68,19,4,30,0,0,17.38,-1.15,0,7,9,5,-7,-8,-4,-69,14,1,108.43,326.48,-141.96
262,261,1,1,879,-69,20,3,31,0.07,0,17.46,-1.15,0,7,9,5,-7,-8,-4,-69,14,1,90,326.22,-123.78
263,262,1,0,184,-69,20,3,31,0.07,0,17.53,-1.15,0,7,9,5,-7,-8,-4,-69,14,1,90,325.98,-124.02
264,263,1,1,866,-68,20,1,31,0.07,-0.02,17.59,-1.16,0,7,9,5,-7,-8,-4,-69,14,1,104.04,325.78,-138.26
265,264,1,0,184,-71,22,2,30,0.07,0.02,17.66,-1.14,0,7,9,5,-7,-8,-4,-69,14,1,71.57,325.49,-106.08
266,265,1,0,205,-70,21,3,31,0.07,0.01,17.73,-1.13,0,7,9,5,-7,-8,-4,-69,14,1,78.69,325.21,-113.48
267,266,1,1,824,-69,20,5,31,0.07,0,17.8,-1.13,0,7,9,5,-7,-8,-4,-69,14,1,90,324.97,-125.03
267,267,0,0,192,-71,20,2,30,0,0,17.8,-1.13,0,7,9,5,-7,-8,-4,-69,14,1,63.43,324.97,-98.47
268,267,1,1,882,-69,20,2,31,0.07,0,17.87,-1.13,0,7,9,5,-7,-8,-4,-69,14,1,90,324.73,-125.27
269,268,1,0,181,-71,21,3,31,0.07,0.03,17.94,-1.1,0,7,9,5,-7,-8,-4,-69,14,1,68.2,324.44,-103.76
270,269,1,1,858,-70,22,4,31,0.07,0.01,18.01,-1.09,0,7,9,5,-7,-8,-4,-69,14,1,80.54,324.17,-116.36
271,270,1,0,175,-71,20,4,30,0.06,0.03,18.07,-1.06,0,7,9,5,-7,-8,-4,-69,14,1,63.43,323.88,-99.55
272,271,1,0,171,-70,20,3,31,0.07,0.02,18.14,-1.04,0,7,9,5,-7,-8,-4,-69,14,1,75.96,323.61,-112.35
272,272,0,1,869,-70,22,3,31,0,0,18.14,-1.04,0,7,9,5,-7,-8,-4,-69,14,1,80.54,323.61,-116.93
273,272,1,0,171,-68,21,3,30,0.07,-0.01,18.21,-1.06,0,7,9,5,-7,-8,-4,-69,14,1,101.31,323.41,-137.9
274,273,1,1,868,-69,19,4,31,0.07,0,18.28,-1.06,0,7,9,5,-7,-8,-4,-69,14,1,90,323.18,-126.82
275,274,1,0,168,-71,21,0,31,0.07,0.03,18.34,-1.03,0,7,9,5,-7,-8,-4,-69,14,1,68.2,322.89,-105.3
276,275,1,1,840,-67,21,4,31,0.07,-0.03,18.41,-1.06,0,7,9,5,-7,-8,-4,-69,14,1,111.8,322.74,-149.06
277,276,1,1,590,-71,22,3,30,0.07,0.02,18.48,-1.03,0,7,9,5,-7,-8,-4,-69,14,1,71.57,322.47,-109.1
278,277,1,0,165,-69,22,2,31,0.07,0,18.55,-1.03,0,7,9,5,-7,-8,-4,-69,14,1,90,322.24,-127.76
278,278,0,1,874,-69,21,5,31,0,0,18.55,-1.03,0,7,9,5,-7,-8,-4,-69,14,1,90,322.24,-127.76
279,278,1,0,166,-70,21,2,30,0.07,0.01,18.62,-1.02,0,7,9,5,-7,-8,-4,-69,14,1,78.69,321.98,-116.71
280,279,1,1,868,-69,21,4,31,0.07,0,18.69,-1.02,0,7,9,5,-7,-8,-4,-69,14,1,90,321.75,-128.25
281,280,1,0,165,-70,21,2,31,0.07,0.01,18.75,-1.01,0,7,9,5,-7,-8,-4,-69,14,1,78.69,321.5,-117.19
282,281,1,1,792,-68,21,2,31,0.07,-0.01,18.82,-1.02,0,7,9,5,-7,-8,-4,-69,14,1,101.31,321.31,-140
283,282,1,1,624,-68,21,2,30,0.07,-0.01,18.89,-1.03,0,7,9,5,-7,-8,-4,-69,14,1,101.31,321.13,-140.18
284,283,1,0,164,-69,17,3,31,0.07,0,18.96,-1.03,0,7,9,5,-7,-8,-4,-69,14,1,90,320.91,-129.09
284,284,0,1,873,-72,19,3,31,0,0,18.96,-1.03,0,7,9,5,-7,-8,-4,-69,14,1,45,320.91,-84.09
285,284,1,0,163,-69,20,3,31,0.07,0,19.03,-1.03,0,7,9,5,-7,-8,-4,-69,14,1,90,320.69,-129.31
286,285,1,1,862,-70,20,5,30,0.07,0.02,19.1,-1.02,0,7,9,5,-7,-8,-4,-69,14,1,75.96,320.43,-115.53
287,286,1,0,168,-71,19,4,31,0.06,0.04,19.16,-0.98,0,7,9,5,-7,-8,-4,-69,14,1,56.31,320.15,-96.16
288,287,1,0,174,-71,20,2,31,0.06,0.03,19.22,-0.95,0,7,9,5,-7,-8,-4,-69,14,1,63.43,319.88,-103.56
289,288,1,1,876,-72,22,3,30,0.06,0.03,19.29,-0.91,0,7,9,5,-7,-8,-4,-69,14,1,63.43,319.6,-103.83
289,289,0,0,167,-70,20,2,31,0,0,19.29,-0.91,0,7,9,5,-7,-8,-4,-69,14,1,75.96,319.6,-116.36
290,289,1,1,870,-69,19,3,31,0.07,0,19.36,-0.91,0,7,9,5,-7,-8,-4,-69,14,1,90,319.39,-130.61
291,290,1,0,162,-70,20,3,31,0.07,0.02,19.43,-0.9,0,7,9,5,-7,-8,-4,-69,14,1,75.96,319.14,-116.83
292,291,1,1,853,-69,20,4,30,0.07,0,19.5,-0.9,0,7,9,5,-7,-8,-4,-69,14,1,90,318.93,-131.07
293,292,1,1,564,-69,21,2,31,0.07,0,19.57,-0.9,0,7,9,5,-7,-8,-4,-69,14,1,90,318.72,-131.28
294,293,1,0,162,-70,21,3,31,0.07,0.01,19.64,-0.88,0,7,9,5,-7,-8,-4,-69,14,1,78.69,318.48,-120.21
294,294,0,1,871,-71,22,4,30,0,0,19.64,-0.88,0,7,9,5,-7,-8,-4,-69,14,1,71.57,318.48,-113.09
295,294,1,0,160,-70,21,3,31,0.07,0.01,19.71,-0.87,0,7,9,5,-7,-8,-4,-69,14,1,78.69,318.24,-120.45
296,295,1,1,870,-68,21,4,31,0.07,-0.01,19.78,-0.88,0,7,9,5,-7,-8,-4,-69,14,1,101.31,318.07,-143.24
297,296,1,0,163,-69,21,3,31,0.07,0,19.85,-0.88,0,7,9,5,-7,-8,-4,-69,14,1,90,317.87,-132.13
298,297,1,1,361,-69,22,4,30,0.07,0,19.92,-0.88,0,7,9,5,-7,-8,-4,-69,14,1,90,317.66,-132.34
299,298,1,1,760,-70,20,2,31,0.07,0.02,19.98,-0.87,0,7,9,5,-7,-8,-4,-69,14,1,75.96,317.42,-118.54
299,299,0,0,163,-70,21,3,31,0,0,19.98,-0.87,0,7,9,5,-7,-8,-4,-69,14,1,78.69,317.42,-121.27
300,299,1,1,875,-71,21,3,30,0.07,0.03,20.05,-0.84,0,7,9,5,-7,-8,-4,-69,14,1,68.2,317.16,-111.03
301,300,1,0,164,-70,23,4,31,0.07,0.01,20.12,-0.83,0,7,9,5,-7,-8,-4,-69,14,1,81.87,316.94,-124.93
302,301,1,1,857,-71,22,2,31,0.07,0.02,20.19,-0.81,0,7,9,5,-7,-8,-4,-69,14,1,71.57,316.69,-114.87
303,302,1,0,168,-70,19,2,31,0.07,0.02,20.25,-0.79,0,7,9,5,-7,-8,-4,-69,14,1,71.57,316.45,-115.12
304,303,1,0,168,-69,19,4,30,0.07,0,20.32,-0.79,0,7,9,5,-7,-8,-4,-69,14,1,90,316.25,-133.75
305,304,1,1,868,-69,21,3,31,0.07,0,20.39,-0.79,0,7,9,5,-7,-8,-4,-69,14,1,90,316.06,-133.94
305,305,0,0,167,-72,20,3,31,0,0,20.39,-0.79,0,7,9,5,-7,-8,-4,-69,14,1,53.13,316.06,-97.07
306,305,1,1,877,-69,20,3,31,0.07,0,20.47,-0.79,0,7,9,5,-7,-8,-4,-69,14,1,90,315.86,-134.14
307,306,1,0,165,-68,17,3,30,0.06,-0.03,20.53,-0.82,0,7,9,5,-7,-8,-4,-69,14,1,116.57,315.77,-160.79
308,307,1,1,857,-68,23,4,31,0.07,-0.01,20.6,-0.83,0,7,9,5,-7,-8,-4,-69,14,1,98.13,315.61,-142.52
309,308,1,1,510,-71,21,5,31,0.07,0.03,20.66,-0.8,0,7,9,5,-7,-8,-4,-69,14,1,68.2,315.37,-112.83
310,309,1,0,161,-71,21,3,30,0.07,0.03,20.73,-0.77,0,7,9,5,-7,-8,-4,-69,14,1,68.2,315.12,-113.08
310,310,0,1,868,-70,23,-1,31,0,0,20.73,-0.77,0,7,9,5,-7,-8,-4,-69,14,1,81.87,315.12,-126.75
311,310,1,0,160,-70,19,5,31,0.07,0.02,20.8,-0.75,0,7,9,5,-7,-8,-4,-69,14,1,71.57,314.88,-116.68
312,311,1,1,870,-70,19,4,31,0.07,0.02,20.86,-0.73,0,7,9,5,-7,-8,-4,-69,14,1,71.57,314.65,-116.92
313,312,1,0,160,-72,22,5,30,0.06,0.03,20.93,-0.7,0,7,9,5,-7,-8,-4,-69,14,1,63.43,314.4,-109.04
314,313,1,1,448,-66,19,4,31,0.05,-0.05,20.98,-0.75,0,7,9,5,-7,-8,-4,-69,14,1,135,314.4,179.4
315,314,1,1,849,-65,19,3,31,0.04,-0.06,21.02,-0.8,0,7,9,5,-7,-8,-4,-69,14,1,143.13,314.44,171.31
315,315,0,0,96,-67,20,3,30,0,0,21.02,-0.8,0,7,9,5,-7,-8,-4,-69,14,1,116.57,314.44,-162.13
316,315,1,0,96,-66,21,3,31,0.06,-0.04,21.08,-0.84,0,7,9,5,-7,-8,-4,-69,14,1,120.96,314.38,-166.59
316,316,0,0,94,-67,21,3,31,0,0,21.08,-0.84,0,7,9,5,-7,-8,-4,-69,14,1,111.8,314.38,-157.42
316,316,0,1,847,-68,19,2,31,0,0,21.08,-0.84,0,7,9,5,-7,-8,-4,-69,14,1,108.43,314.38,-154.06
317,316,1,1,849,-68,20,4,30,0.07,-0.02,21.15,-0.86,0,7,9,5,-7,-8,-4,-69,14,1,104.04,314.25,-149.79
