ht,it,od digital,od analog,od mid,mx,my,mz,dt,v.x,v.y,p.x,p.y,p.z,mx_max,my_max,mz_max,mx_min,my_min,mz_min,mx_bias,my_bias,mz_bias,head,dhead,headingChange
42,41,1,1,668,-66,21,5,30,0.06,-0.04,2.58,-1.01,0,7,9,5,-7,-8,-4,-69,14,1,120.96,82.27,-38.69
43,42,1,1,753,-69,20,4,31,0.07,0,2.65,-1.01,0,7,9,5,-7,-8,-4,-69,14,1,90,82.2,-7.8
43,43,0,0,191,-68,20,3,30,0,0,2.65,-1.01,0,7,9,5,-7,-8,-4,-69,14,1,104.04,82.2,-21.84
44,43,1,1,876,-67,20,3,31,0.06,-0.03,2.72,-1.04,0,7,9,5,-7,-8,-4,-69,14,1,116.57,81.89,-34.68
45,44,1,0,192,-69,21,3,30,0.07,0,2.79,-1.04,0,7,9,5,-7,-8,-4,-69,14,1,90,81.81,-8.19
46,45,1,1,607,-69,21,4,31,0.07,0,2.86,-1.04,0,7,9,5,-7,-8,-4,-69,14,1,90,81.73,-8.27
47,46,1,1,873,-68,20,2,31,0.07,-0.02,2.93,-1.06,0,7,9,5,-7,-8,-4,-69,14,1,104.04,81.51,-22.52
47,47,0,0,188,-70,19,4,29,0,0,2.93,-1.06,0,7,9,5,-7,-8,-4,-69,14,1,71.57,81.51,9.95
48,47,1,1,857,-66,19,3,31,0.05,-0.05,2.98,-1.11,0,7,9,5,-7,-8,-4,-69,14,1,135,81.06,-53.94
49,48,1,0,190,-67,24,4,31,0.07,-0.02,3.04,-1.12,0,7,9,5,-7,-8,-4,-69,14,1,105.95,80.82,-25.13
50,49,1,0,193,-69,21,5,31,0.07,0,3.11,-1.12,0,7,9,5,-7,-8,-4,-69,14,1,90,80.72,-9.28
51,50,1,1,877,-66,23,2,30,0.06,-0.03,3.18,-1.15,0,7,9,5,-7,-8,-4,-69,14,1,113.2,80.41,-32.79
51,51,0,0,203,-69,20,3,30,0,0,3.18,-1.15,0,7,9,5,-7,-8,-4,-69,14,1,90,80.41,-9.59
52,51,1,1,873,-67,20,4,31,0.06,-0.03,3.24,-1.18,0,7,9,5,-7,-8,-4,-69,14,1,116.57,80.06,-36.5
53,52,1,0,199,-70,21,2,30,0.07,0.01,3.31,-1.17,0,7,9,5,-7,-8,-4,-69,14,1,78.69,80.08,1.39
54,53,1,0,165,-64,19,4,31,0.04,-0.06,3.35,-1.23,0,7,9,5,-7,-8,-4,-69,14,1,149.04,79.52,-69.52
55,54,1,1,875,-69,22,4,31,0.07,0,3.42,-1.23,0,7,9,5,-7,-8,-4,-69,14,1,90,79.41,-10.59
55,55,0,0,201,-69,20,2,31,0,0,3.42,-1.23,0,7,9,5,-7,-8,-4,-69,14,1,90,79.41,-10.59
56,55,1,1,872,-69,19,3,29,0.07,0,3.49,-1.23,0,7,9,5,-7,-8,-4,-69,14,1,90,79.3,-10.7
57,56,1,0,200,-69,20,3,31,0.07,0,3.56,-1.23,0,7,9,5,-7,-8,-4,-69,14,1,90,79.18,-10.82
58,57,1,1,595,-68,19,3,31,0.07,-0.02,3.63,-1.25,0,7,9,5,-7,-8,-4,-69,14,1,108.43,78.88,-29.56
59,58,1,1,870,-69,21,3,29,0.07,0,3.7,-1.25,0,7,9,5,-7,-8,-4,-69,14,1,90,78.76,-11.24
59,59,0,0,194,-70,21,3,31,0,0,3.7,-1.25,0,7,9,5,-7,-8,-4,-69,14,1,78.69,78.76,0.07
60,59,1,1,863,-66,18,5,31,0.05,-0.05,3.75,-1.3,0,7,9,5,-7,-8,-4,-69,14,1,135,78.23,-56.77
61,60,1,0,200,-67,20,3,31,0.06,-0.03,3.81,-1.33,0,7,9,5,-7,-8,-4,-69,14,1,116.57,77.84,-38.73
62,61,1,1,863,-67,22,2,30,0.07,-0.02,3.88,-1.36,0,7,9,5,-7,-8,-4,-69,14,1,108.43,77.51,-30.93
63,62,1,1,557,-68,17,4,31,0.06,-0.03,3.94,-1.39,0,7,9,5,-7,-8,-4,-69,14,1,116.57,77.1,-39.47
64,63,1,0,192,-68,21,2,31,0.07,-0.01,4.01,-1.4,0,7,9,5,-7,-8,-4,-69,14,1,101.31,76.83,-24.48
64,64,0,1,875,-66,21,4,30,0,0,4.01,-1.4,0,7,9,5,-7,-8,-4,-69,14,1,120.96,76.83,-44.13
65,64,1,0,199,-69,21,3,31,0.07,0,4.08,-1.4,0,7,9,5,-7,-8,-4,-69,14,1,90,76.68,-13.32
66,65,1,1,868,-66,21,3,30,0.06,-0.04,4.14,-1.44,0,7,9,5,-7,-8,-4,-69,14,1,120.96,76.21,-44.75
67,66,1,1,574,-66,21,4,31,0.06,-0.04,4.2,-1.47,0,7,9,5,-7,-8,-4,-69,14,1,120.96,75.74,-45.23
68,67,1,0,197,-69,20,4,30,0.07,0,4.27,-1.47,0,7,9,5,-7,-8,-4,-69,14,1,90,75.57,-14.43
68,68,0,1,883,-68,20,5,31,0,0,4.27,-1.47,0,7,9,5,-7,-8,-4,-69,14,1,104.04,75.57,-28.47
69,68,1,0,196,-68,18,2,31,0.07,-0.02,4.34,-1.5,0,7,9,5,-7,-8,-4,-69,14,1,108.43,75.19,-33.24
70,69,1,1,863,-68,21,5,30,0.07,-0.01,4.41,-1.51,0,7,9,5,-7,-8,-4,-69,14,1,101.31,74.89,-26.42
71,70,1,1,557,-69,20,0,31,0.07,0,4.48,-1.51,0,7,9,5,-7,-8,-4,-69,14,1,90,74.7,-15.3
72,71,1,0,198,-69,22,2,31,0.07,0,4.55,-1.51,0,7,9,5,-7,-8,-4,-69,14,1,90,74.51,-15.49
72,72,0,1,878,-67,22,3,30,0,0,4.55,-1.51,0,7,9,5,-7,-8,-4,-69,14,1,108.43,74.51,-33.92
73,72,1,0,198,-67,21,3,30,0.07,-0.03,4.61,-1.54,0,7,9,5,-7,-8,-4,-69,14,1,111.8,74.08,-37.73
74,73,1,1,869,-67,22,3,31,0.07,-0.02,4.68,-1.56,0,7,9,5,-7,-8,-4,-69,14,1,108.43,73.66,-34.77
75,74,1,1,584,-67,22,3,31,0.07,-0.02,4.75,-1.58,0,7,9,5,-7,-8,-4,-69,14,1,108.43,73.24,-35.19
76,75,1,0,200,-69,20,4,30,0.07,0,4.82,-1.58,0,7,9,5,-7,-8,-4,-69,14,1,90,73.03,-16.97
76,76,0,1,881,-67,22,2,31,0,0,4.82,-1.58,0,7,9,5,-7,-8,-4,-69,14,1,108.43,73.03,-35.41
77,76,1,0,200,-71,22,3,30,0.07,0.02,4.88,-1.56,0,7,9,5,-7,-8,-4,-69,14,1,71.57,73.05,1.48
78,77,1,1,856,-65,21,3,31,0.06,-0.04,4.94,-1.6,0,7,9,5,-7,-8,-4,-69,14,1,128.66,72.42,-56.24
79,78,1,0,205,-68,21,2,30,0.07,-0.01,5.01,-1.62,0,7,9,5,-7,-8,-4,-69,14,1,101.31,72.05,-29.26
80,79,1,0,200,-66,20,1,31,0.06,-0.04,5.06,-1.66,0,7,9,5,-7,-8,-4,-69,14,1,126.87,71.41,-55.46
80,80,0,1,874,-69,22,5,31,0,0,5.06,-1.66,0,7,9,5,-7,-8,-4,-69,14,1,90,71.41,-18.59
81,80,1,0,199,-68,18,5,29,0.07,-0.02,5.13,-1.68,0,7,9,5,-7,-8,-4,-69,14,1,108.43,70.94,-37.49
82,81,1,1,866,-68,20,3,31,0.07,-0.02,5.2,-1.7,0,7,9,5,-7,-8,-4,-69,14,1,104.04,70.51,-33.53
83,82,1,0,199,-68,22,3,31,0.07,-0.01,5.27,-1.71,0,7,9,5,-7,-8,-4,-69,14,1,99.46,70.12,-29.34
84,83,1,0,198,-68,22,5,31,0.07,-0.01,5.34,-1.72,0,7,9,5,-7,-8,-4,-69,14,1,99.46,69.72,-29.74
85,84,1,1,877,-67,21,4,30,0.07,-0.03,5.4,-1.75,0,7,9,5,-7,-8,-4,-69,14,1,111.8,69.17,-42.63
85,85,0,0,199,-70,21,2,31,0,0,5.4,-1.75,0,7,9,5,-7,-8,-4,-69,14,1,78.69,69.17,-9.52
86,85,1,1,876,-68,23,1,31,0.07,-0.01,5.47,-1.76,0,7,9,5,-7,-8,-4,-69,14,1,98.13,68.77,-29.36
87,86,1,0,200,-67,20,3,29,0.06,-0.03,5.54,-1.79,0,7,9,5,-7,-8,-4,-69,14,1,116.57,68.15,-48.42
88,87,1,0,200,-69,20,3,31,0.07,0,5.61,-1.79,0,7,9,5,-7,-8,-4,-69,14,1,90,67.83,-22.17
89,88,1,1,880,-68,21,4,31,0.07,-0.01,5.68,-1.8,0,7,9,5,-7,-8,-4,-69,14,1,101.31,67.35,-33.96
89,89,0,0,198,-70,21,4,31,0,0,5.68,-1.8,0,7,9,5,-7,-8,-4,-69,14,1,78.69,67.35,-11.34
90,89,1,1,863,-70,20,4,30,0.07,0.02,5.75,-1.79,0,7,9,5,-7,-8,-4,-69,14,1,75.96,67.22,-8.74
91,90,1,0,197,-71,20,3,30,0.06,0.03,5.81,-1.76,0,7,9,5,-7,-8,-4,-69,14,1,63.43,67.28,3.84
92,91,1,0,276,-68,20,5,31,0.07,-0.02,5.88,-1.77,0,7,9,5,-7,-8,-4,-69,14,1,104.04,66.74,-37.3
93,92,1,1,867,-67,21,1,30,0.07,-0.03,5.94,-1.8,0,7,9,5,-7,-8,-4,-69,14,1,111.8,66.1,-45.71
93,93,0,0,196,-67,23,2,31,0,0,5.94,-1.8,0,7,9,5,-7,-8,-4,-69,14,1,105.95,66.1,-39.85
94,93,1,1,881,-68,20,4,31,0.07,-0.02,6.01,-1.82,0,7,9,5,-7,-8,-4,-69,14,1,104.04,65.53,-38.51
95,94,1,0,194,-70,21,4,31,0.07,0.01,6.08,-1.8,0,7,9,5,-7,-8,-4,-69,14,1,78.69,65.32,-13.37
96,95,1,1,854,-69,19,4,30,0.07,0,6.15,-1.8,0,7,9,5,-7,-8,-4,-69,14,1,90,64.92,-25.08
97,96,1,1,564,-69,20,2,30,0.07,0,6.22,-1.8,0,7,9,5,-7,-8,-4,-69,14,1,90,64.51,-25.49
98,97,1,0,193,-68,21,3,31,0.07,-0.01,6.29,-1.82,0,7,9,5,-7,-8,-4,-69,14,1,101.31,63.92,-37.39
98,98,0,1,879,-70,22,4,30,0,0,6.29,-1.82,0,7,9,5,-7,-8,-4,-69,14,1,80.54,63.92,-16.61
99,98,1,0,192,-67,21,3,31,0.07,-0.03,6.36,-1.84,0,7,9,5,-7,-8,-4,-69,14,1,111.8,63.19,-48.61
100,99,1,1,865,-69,20,2,31,0.07,0,6.43,-1.84,0,7,9,5,-7,-8,-4,-69,14,1,90,62.74,-27.26
101,100,1,0,192,-68,22,2,31,0.07,-0.01,6.5,-1.85,0,7,9,5,-7,-8,-4,-69,14,1,99.46,62.13,-37.34
102,101,1,0,191,-68,21,3,29,0.07,-0.01,6.57,-1.87,0,7,9,5,-7,-8,-4,-69,14,1,101.31,61.47,-39.84
102,102,0,1,873,-69,22,3,31,0,0,6.57,-1.87,0,7,9,5,-7,-8,-4,-69,14,1,90,61.47,-28.53
103,102,1,0,192,-68,21,5,31,0.07,-0.01,6.63,-1.88,0,7,9,5,-7,-8,-4,-69,14,1,101.31,60.8,-40.51
104,103,1,1,871,-70,20,5,30,0.07,0.02,6.7,-1.86,0,7,9,5,-7,-8,-4,-69,14,1,75.96,60.52,-15.44
105,104,1,0,190,-67,20,2,31,0.06,-0.03,6.77,-1.9,0,7,9,5,-7,-8,-4,-69,14,1,116.57,59.63,-56.94
106,105,1,1,411,-69,21,5,31,0.07,0,6.84,-1.9,0,7,9,5,-7,-8,-4,-69,14,1,90,59.07,-30.93
107,106,1,1,889,-69,20,2,31,0.07,0,6.91,-1.9,0,7,9,5,-7,-8,-4,-69,14,1,90,58.5,-31.5
107,107,0,0,216,-71,19,3,29,0,0,6.91,-1.9,0,7,9,5,-7,-8,-4,-69,14,1,56.31,58.5,2.19
108,107,1,1,855,-67,19,4,31,0.06,-0.04,6.97,-1.93,0,7,9,5,-7,-8,-4,-69,14,1,123.69,57.48,-66.21
109,108,1,0,197,-69,20,2,31,0.07,0,7.04,-1.93,0,7,9,5,-7,-8,-4,-69,14,1,90,56.87,-33.13
110,109,1,1,404,-65,20,1,31,0.05,-0.05,7.09,-1.98,0,7,9,5,-7,-8,-4,-69,14,1,135,55.75,-79.25
111,110,1,1,872,-70,19,4,30,0.07,0.02,7.15,-1.96,0,7,9,5,-7,-8,-4,-69,14,1,71.57,55.43,-16.14
111,111,0,0,195,-68,19,4,31,0,0,7.15,-1.96,0,7,9,5,-7,-8,-4,-69,14,1,108.43,55.43,-53.01
112,111,1,1,878,-71,19,2,31,0.06,0.04,7.21,-1.92,0,7,9,5,-7,-8,-4,-69,14,1,56.31,55.41,-0.9
113,112,1,0,158,-68,20,3,30,0.07,-0.02,7.28,-1.94,0,7,9,5,-7,-8,-4,-69,14,1,104.04,54.5,-49.53
114,113,1,1,843,-71,21,4,30,0.07,0.03,7.35,-1.91,0,7,9,5,-7,-8,-4,-69,14,1,68.2,54.21,-13.99
115,114,1,1,592,-66,20,3,31,0.06,-0.04,7.4,-1.96,0,7,9,5,-7,-8,-4,-69,14,1,126.87,53.02,-73.85
115,115,1,0,191,-69,19,5,31,0.07,0,7.47,-1.96,0,7,9,5,-7,-8,-4,-69,14,1,90,52.26,-37.74
116,116,0,1,877,-68,20,3,30,0,0,7.47,-1.96,0,7,9,5,-7,-8,-4,-69,14,1,104.04,52.26,-51.77
117,116,1,0,190,-68,21,1,31,0.07,-0.01,7.54,-1.97,0,7,9,5,-7,-8,-4,-69,14,1,101.31,51.29,-50.02
118,117,1,1,867,-68,20,3,31,0.07,-0.02,7.61,-1.99,0,7,9,5,-7,-8,-4,-69,14,1,104.04,50.26,-53.78
119,118,1,1,515,-69,19,3,30,0.07,0,7.68,-1.99,0,7,9,5,-7,-8,-4,-69,14,1,90,49.41,-40.59
120,119,1,0,190,-70,21,2,31,0.07,0.01,7.75,-1.97,0,7,9,5,-7,-8,-4,-69,14,1,78.69,48.75,-29.94
120,120,0,1,875,-68,21,6,30,0,0,7.75,-1.97,0,7,9,5,-7,-8,-4,-69,14,1,101.31,48.75,-52.56
121,120,1,0,188,-70,19,3,31,0.07,0.02,7.82,-1.95,0,7,9,5,-7,-8,-4,-69,14,1,71.57,48.22,-23.35
122,121,1,1,873,-69,20,1,30,0.07,0,7.89,-1.95,0,7,9,5,-7,-8,-4,-69,14,1,90,47.28,-42.72
123,122,1,0,187,-67,19,3,31,0.06,-0.04,7.95,-1.99,0,7,9,5,-7,-8,-4,-69,14,1,123.69,45.91,-77.78
124,123,1,1,420,-70,19,3,31,0.07,0.02,8.01,-1.97,0,7,9,5,-7,-8,-4,-69,14,1,71.57,45.28,-26.28
125,124,1,1,732,-71,22,4,30,0.07,0.02,8.08,-1.95,0,7,9,5,-7,-8,-4,-69,14,1,71.57,44.63,-26.94
