
-2288,1300,16224,-125,6,-38,-39,-5,50,1045905
-2228,1252,16012,171,135,-238,-39,-3,49,1045941
-2364,1576,16148,158,-14,75,-39,-2,49,1045976
-2292,1288,15988,-47,117,-86,-40,-2,48,1046011
-2172,1292,16140,97,172,-71,-40,0,50,1046046
-2292,1376,16272,273,104,48,-39,-2,48,1046082
-2284,1516,16288,85,-45,-95,-39,-2,49,1046117
-2132,1528,16052,-48,68,-78,-40,-1,49,1046153
-2448,1600,16328,31,94,-40,-39,-1,50,1046188
-2232,1316,16136,-129,108,-198,-40,-2,51,1046223
-2152,1272,16228,192,-17,-72,-40,-1,49,1046258
-2252,1476,16132,218,32,-89,-41,-1,50,1046294
-2364,1624,16304,39,51,-117,-38,-3,51,1046329
-2184,1372,16104,-79,76,-132,-40,0,51,1046365
-2180,1424,16148,73,101,-108,-39,-2,50,1046400
-2512,1572,16412,95,-3,-170,-39,-2,49,1046435
-2104,1356,16180,52,0,-86,-39,0,50,1046470
-2192,1512,16152,-13,92,-198,-39,-2,50,1046506
-2440,1568,16324,-53,-100,-31,-39,-1,48,1046541
-2204,1404,16308,-110,-6,-38,-39,-2,49,1046577
-2276,1300,16164,111,128,-202,-37,-1,49,1046611
-2376,1368,16340,231,-70,-23,-39,-2,49,1046647
-2172,1372,16112,56,54,-204,-39,-3,49,1046682
-2368,1408,16144,46,152,-55,-39,-1,49,1046718
-2344,1468,16264,142,71,-42,-38,-1,47,1046753
-2196,1564,16248,70,3,-31,-39,-1,49,1046789
-2248,1560,16260,6,-49,95,-40,0,49,1046823
-2180,1316,16112,-35,216,-208,-40,-4,49,1046859
-2280,1384,16220,59,40,100,-38,-3,49,1046894
-2252,1508,16312,101,81,-208,-38,-2,49,1046930
-2244,1432,16128,62,19,-48,-40,0,51,1046965
-2164,1496,16128,99,149,-306,-40,-2,49,1047001
-2260,1488,16284,26,-19,-11,-40,-2,49,1047035
-2188,1508,16248,51,65,-226,-39,-1,49,1047071
-2244,1428,16276,69,108,-43,-39,-3,49,1047106
-2320,1492,16304,22,29,-176,-40,-1,50,1047142
-2244,1520,16148,99,45,-175,-38,0,49,1047177
-2228,1676,16088,-41,3,-107,-37,-2,51,1047212
-2340,1356,16300,24,54,79,-39,-1,50,1047247
-2216,1372,16108,173,5,-71,-38,-2,49,1047282
-2276,1432,16064,164,43,2,-39,-2,47,1047318
-2160,1524,16232,100,195,-219,-39,0,49,1047353
-2244,1408,16168,62,159,-125,-38,1,49,1047389
-2180,1560,16280,407,250,-112,-40,-1,51,1047424
-2396,1632,16324,250,76,82,-40,-2,49,1047459
-2188,1400,16100,73,75,-172,-40,-2,49,1047494
-2276,1636,16252,150,230,-164,-39,-1,50,1047530
-2312,1704,16268,58,-21,129,-39,-1,50,1047566
-2268,1652,16036,55,114,-158,-42,-1,48,1047601
-2244,1748,16076,-58,34,-105,-39,1,49,1047636
-2264,1608,16216,-175,46,47,-39,-1,51,1047671
-2224,1424,16180,-115,-12,-35,-40,-2,50,1047707
-2072,1556,16132,79,1,-92,-40,0,50,1047742
-2212,1628,16140,-86,45,-41,-40,-2,49,1047777
-2480,1376,16216,-127,187,-67,-39,-3,52,1047813
-2468,1664,16404,337,-46,146,-38,-4,50,1047847
-2180,1780,16096,-27,51,-76,-40,-2,50,1047883
-1996,1352,16080,-159,17,150,-39,-2,49,1047918
-2208,1564,16304,-96,156,-92,-41,-2,49,1047954
-2348,1368,16128,-157,-15,25,-39,-2,51,1047989
-2504,1608,16108,96,18,-29,-40,-1,50,1048025
-2276,1676,16180,-137,-124,91,-40,-3,48,1048059
-2044,1532,16024,-218,135,-10,-40,0,51,1048095
-2124,1428,16392,-127,0,310,-39,-2,49,1048130
-2180,1252,16148,110,32,-136,-39,-3,48,1048166
-2072,1448,16144,11,113,-51,-39,-3,50,1048202
-2244,1436,16196,132,98,3,-38,-2,50,1048237
-2084,1536,16352,63,52,-61,-38,-2,50,1048271
-2324,1576,16184,96,111,-57,-40,-2,48,1048307
-2276,1672,16056,88,112,57,-41,-2,50,1048342
