direction, mx, my, mz, mx_max, my_max, mz_max, mx_min, my_min, mz_min,,mx,my,mz,,,,,,,,,,,,,,mx,my,mz,,,,,,,,,,,,,mx,my,mz
Left,-32,-10,21,0,9,24,-59,-16,7,,,,,,,Right,-25,-8,19,24,91,26,-100,-38,-111,,,,,,Straight,-30,-10,18,24,93,26,-100,-38,-111,,,,
Left,-32,-11,21,0,9,24,-59,-16,7,,,,,,,Right,-24,-8,16,24,91,26,-100,-38,-111,,,,,,Straight,-31,-11,19,24,93,26,-100,-38,-111,,,,
Left,-34,-10,23,0,9,24,-59,-16,7,,,,,,,Right,-24,-10,15,24,91,26,-100,-38,-111,,,,,,Straight,-33,-11,20,24,93,26,-100,-38,-111,,,,
Left,-32,-12,21,0,9,24,-59,-16,7,,,,,,,Right,-23,-8,19,24,91,26,-100,-38,-111,,,,,,Straight,-32,-11,19,24,93,26,-100,-38,-111,,,,
Left,-31,-10,21,0,9,24,-59,-16,7,,,,,,,Right,-21,-8,16,24,91,26,-100,-38,-111,,,,,,Straight,-32,-12,18,24,93,26,-100,-38,-111,,,,
Left,-31,-12,20,0,9,24,-59,-16,7,,,,,,,Right,-24,-8,17,24,91,26,-100,-38,-111,,,,,,Straight,-31,-11,18,24,93,26,-100,-38,-111,,,,
Left,-31,-12,20,0,9,24,-59,-16,7,,,,,,,Right,-21,-7,16,24,91,26,-100,-38,-111,,,,,,Straight,-31,-10,19,24,93,26,-100,-38,-111,,,,
Left,-31,-12,20,0,9,24,-59,-16,7,,,,,,,Right,-23,-7,16,24,91,26,-100,-38,-111,,,,,,Straight,-32,-13,17,24,93,26,-100,-38,-111,,,,
Left,-33,-12,21,0,9,24,-59,-16,7,,,,,,,Right,-22,-6,17,24,91,26,-100,-38,-111,,,,,,Straight,-32,-11,18,24,93,26,-100,-38,-111,,,,
Left,-32,-12,20,0,9,24,-59,-16,7,,,,,,,Right,-25,-8,18,24,91,26,-100,-38,-111,,,,,,Straight,-33,-13,18,24,93,26,-100,-38,-111,,,,
Left,-34,-13,23,0,9,24,-59,-16,7,,,,,,,Right,-23,-8,18,24,91,26,-100,-38,-111,,,,,,Straight,-31,-14,17,24,93,26,-100,-38,-111,,,,
Left,-32,-12,19,0,9,24,-59,-16,7,,,,,,,Right,-24,-7,17,24,91,26,-100,-38,-111,,,,,,Straight,-32,-11,20,24,93,26,-100,-38,-111,,,,
Left,-31,-15,21,0,9,24,-59,-16,7,,,,,,,Right,-24,-7,17,24,91,26,-100,-38,-111,,,,,,Straight,-30,-14,17,24,93,26,-100,-38,-111,,,,
Left,-32,-14,20,0,9,24,-59,-16,7,,,,,,,Right,-22,-8,17,24,91,26,-100,-38,-111,,,,,,Straight,-31,-14,17,24,93,26,-100,-38,-111,,,,
Left,-30,-13,21,0,9,24,-59,-16,7,,,,,,,Right,-23,-8,17,24,91,26,-100,-38,-111,,,,,,Straight,-32,-16,17,24,93,26,-100,-38,-111,,,,
