23, 0, 164, 0, -12, 33, -6, 30, 0.51, -1.54, 6.62, -24.77, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 161.57, 7.76, -153.81
24, 1, 859, 0, -12, 33, -7, 31, 0.54, -1.61, 7.16, -26.38, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 161.57, 6.14, -155.42
25, 1, 703, 0, -10, 31, -6, 32, -0.00, -1.76, 7.16, -28.14, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 180.00, 5.76, -174.24
25, 0, 163, 0, -9, 33, -7, 31, 0.38, -1.72, 7.54, -29.86, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 167.47, 4.70, -162.77
26, 1, 881, 0, -11, 33, -5, 30, 0.50, -1.76, 8.05, -31.63, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 164.05, 3.53, -160.52
27, 0, 162, 0, -11, 31, -6, 31, -0.00, -1.90, 8.05, -33.53, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 180.00, 3.33, -176.67
28, 0, 161, 0, -10, 32, -7, 30, 0.24, -1.96, 8.29, -35.49, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 172.87, 2.76, -170.12
29, 1, 877, 0, -12, 33, -6, 32, 0.65, -1.94, 8.94, -37.43, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 161.57, 1.63, -159.94
29, 0, 162, 0, -11, 35, -5, 30, 0.81, -1.88, 9.74, -39.31, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 156.80, 0.37, -156.43
30, 1, 876, 0, -11, 33, -8, 31, 0.58, -2.03, 10.33, -41.34, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 164.05, 359.64, -164.42
31, 0, 161, 0, -9, 35, -8, 31, 0.69, -2.07, 11.02, -43.42, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 161.57, 358.91, -162.66
