124,652,16528,59,-115,-113,-3,-31,45,1748200
380,952,16284,311,-188,-1,-2,-30,44,1748236
352,732,16188,66,179,161,-2,-31,45,1748271
212,664,16520,141,144,79,-2,-32,46,1748305
28,492,16480,47,256,-162,-2,-31,45,1748341
160,928,16544,248,244,-669,-2,-31,45,1748376
436,1256,16572,-151,201,-624,-2,-31,44,1748412
-964,-824,17644,-104,1437,-2814,-2,-30,44,1748447
-180,860,17196,-635,-271,-7041,-3,-31,43,1748483
28,-132,16984,-1676,421,-9172,-4,-31,46,1748518
1416,-268,18040,-1339,2131,-15306,-6,-28,44,1748553
968,-1584,17452,-2189,1638,-16948,-7,-29,44,1748589
-1220,-1720,17288,-665,-56,-23699,-8,-27,47,1748625
-268,-696,16920,2613,-1454,-25431,-12,-26,45,1748660
-1540,2252,14936,5340,-4052,-24421,-15,-25,47,1748696
4,1672,15100,6344,-6018,-23999,-20,-25,45,1748731
-504,-124,15344,4058,-6539,-27279,-26,-22,43,1748767
2992,4348,13020,125,-304,-27720,-27,-20,43,1748802
-248,372,14792,-1308,221,-22990,-29,-16,44,1748838
-712,728,15464,-2052,2418,-24085,-33,-15,43,1748874
28,2812,16288,591,2491,-20593,-34,-9,43,1748909
-588,-2636,17612,-919,2412,-17759,-32,-7,44,1748944
-1296,3620,16084,-2257,3214,-18677,-32,-4,43,1748980
-1592,1300,16252,-2956,3148,-13577,-34,-2,43,1749015
-2292,2044,16236,-2743,2165,-10268,-32,-1,45,1749051
-1588,2848,15340,-1317,2009,-4098,-33,-1,43,1749087
-2812,712,17164,-450,766,1644,-31,-1,44,1749122
-2752,972,16356,-1203,1358,3877,-30,1,45,1749157
-3224,1076,16732,-1776,1286,6711,-31,-2,45,1749193
-2296,312,17240,-769,-956,10498,-28,-2,44,1749228
-2584,1264,15856,-538,-910,13329,-30,-4,45,1749264
-1852,1020,16200,-2514,776,14924,-28,-6,45,1749300
-3628,1116,16172,-5641,192,16479,-26,-6,46,1749335
-148,-1296,14240,-5864,3967,17297,-25,-8,48,1749370
-3684,-640,16964,-2795,1093,21372,-24,-8,49,1749406
-3344,-1484,15092,-2536,-1226,20236,-21,-12,49,1749441
-2088,-684,15696,-1757,1735,17668,-19,-14,50,1749477
-2076,-500,17156,-1615,1548,18514,-18,-15,51,1749513
-1756,1208,14448,-1641,509,19020,-16,-16,50,1749549
2052,100,19272,-2586,6746,23403,-15,-16,50,1749583
-7792,-488,17152,-6003,10014,22610,-11,-14,51,1749619
-7596,-736,18072,-8497,6748,17077,-9,-12,51,1749655
-7148,-2532,16324,-3969,-4055,10105,-8,-14,51,1749691
-4028,-1212,14804,477,-6875,10237,-7,-16,52,1749726
-2220,-2420,17500,3285,-12137,12551,-4,-21,51,1749762
68,144,15016,-1001,779,16036,-4,-21,52,1749797
-2476,884,14496,-6633,4554,15689,-4,-18,52,1749832
-3484,-40,15160,-6560,5598,16859,3,-17,52,1749868
-3872,-668,19944,-1510,-4073,18222,3,-18,52,1749904
-3256,1144,14968,481,-6496,19470,5,-19,51,1749939
-1444,380,15380,767,-2607,19135,5,-20,51,1749975
-5748,252,15852,-2635,436,19956,9,-18,51,1750010
-3088,1052,14572,-1409,931,16545,11,-20,51,1750045
-4424,-200,15344,-2498,8188,15555,13,-15,52,1750081
-988,696,15848,-4232,1851,16109,16,-14,51,1750117
