mx, my, mz, mx_bias, my_bias, mz_bias, desiredHeading, heading, headingChange, runningMotor,,,,
22,36,-5,-5457,-5076,12765,0,134.86,-134.86, not,,,,
22,34,-2,-5457,-5076,12765,0,134.87,-134.87, not,,,,
20,35,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
21,36,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
22,36,-3,-5457,-5076,12765,0,134.86,-134.86, not,,,,
19,36,-3,-5457,-5076,12765,0,134.84,-134.84, not,,,,
22,34,-3,-5457,-5076,12765,0,134.87,-134.87, not,,,,
20,36,-2,-5457,-5076,12765,0,134.85,-134.85, not,,,,
21,36,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
21,37,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
20,34,-4,-5457,-5076,12765,0,134.86,-134.86, not,,,,
22,37,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
22,37,-2,-5457,-5076,12765,0,134.85,-134.85, not,,,,
18,34,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
20,35,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
21,36,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
22,37,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
20,35,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
21,35,-5,-5457,-5076,12765,0,134.86,-134.86, not,,,,
21,37,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
22,35,-3,-5457,-5076,12765,0,134.86,-134.86, not,,,,
19,35,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
22,35,-2,-5457,-5076,12765,0,134.86,-134.86, not,,,,
22,35,-4,-5457,-5076,12765,0,134.86,-134.86, not,,,,
20,36,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
19,35,-2,-5457,-5076,12765,0,134.85,-134.85, not,,,,
19,35,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
22,33,-2,-5457,-5076,12765,0,134.87,-134.87, not,,,,
22,36,-2,-5457,-5076,12765,0,134.86,-134.86, not,,,,
20,35,-5,-5457,-5076,12765,0,134.85,-134.85, not,,,,
21,36,-1,-5457,-5076,12765,0,134.85,-134.85, not,,,,
20,36,-2,-5457,-5076,12765,0,134.85,-134.85, not,,,,
22,36,-3,-5457,-5076,12765,0,134.86,-134.86, not,,,,
20,35,-1,-5457,-5076,12765,0,134.85,-134.85, not,,,,
22,37,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
20,37,-2,-5457,-5076,12765,0,134.84,-134.84, not,,,,
22,35,-1,-5457,-5076,12765,0,134.86,-134.86, not,,,,
22,34,-1,-5457,-5076,12765,0,134.87,-134.87, not,,,,
19,36,-4,-5457,-5076,12765,0,134.84,-134.84, not,,,,
20,35,-6,-5457,-5076,12765,0,134.85,-134.85, not,,,,
20,36,-5,-5457,-5076,12765,0,134.85,-134.85, not,,,,
19,36,-4,-5457,-5076,12765,0,134.84,-134.84, not,,,,
20,35,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
21,36,-1,-5457,-5076,12765,0,134.85,-134.85, not,,,,
20,38,-3,-5457,-5076,12765,0,134.84,-134.84, not,,,,
20,35,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
20,34,-3,-5457,-5076,12765,0,134.86,-134.86, not,,,,
21,36,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
20,35,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
19,34,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
19,34,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
20,35,-2,-5457,-5076,12765,0,134.85,-134.85, not,,,,
18,33,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
18,36,-4,-5457,-5076,12765,0,134.84,-134.84, not,,,,
20,37,-3,-5457,-5076,12765,0,134.84,-134.84, not,,,,
18,34,-5,-5457,-5076,12765,0,134.85,-134.85, not,,,,
18,37,-4,-5457,-5076,12765,0,134.83,-134.83, not,,,,
20,35,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
18,34,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
19,36,-4,-5457,-5076,12765,0,134.84,-134.84, not,,,,
18,34,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
17,34,-4,-5457,-5076,12765,0,134.84,-134.84, not,,,,
16,34,-3,-5457,-5076,12765,0,134.84,-134.84, not,,,,
15,34,-3,-5457,-5076,12765,0,134.83,-134.83, not,,,,
15,33,-1,-5457,-5076,12765,0,134.84,-134.84, not,,,,
17,33,-5,-5457,-5076,12765,0,134.85,-134.85, not,,,,
17,33,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
15,34,-3,-5457,-5076,12765,0,134.83,-134.83, not,,,,
15,32,-5,-5457,-5076,12765,0,134.84,-134.84, not,,,,
15,33,-5,-5457,-5076,12765,0,134.84,-134.84, not,,,,
15,32,-5,-5457,-5076,12765,0,134.84,-134.84, not,,,,
13,33,-4,-5457,-5076,12765,0,134.83,-134.83, not,,,,
14,32,-4,-5457,-5076,12765,0,134.84,-134.84, not,,,,
13,34,-4,-5457,-5076,12765,0,134.82,-134.82, not,,,,
15,31,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
13,32,-4,-5457,-5076,12765,0,134.83,-134.83, not,,,,
14,32,-4,-5457,-5076,12765,0,134.84,-134.84, not,,,,
13,32,-2,-5457,-5076,12765,0,134.83,-134.83, not,,,,
12,31,-3,-5457,-5076,12765,0,134.83,-134.83, not,,,,
12,30,-4,-5457,-5076,12765,0,134.84,-134.84, not,,,,
14,31,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
11,30,-2,-5457,-5076,12765,0,134.83,-134.83, not,,,,
14,31,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
12,29,-3,-5457,-5076,12765,0,134.84,-134.84, not,,,,
10,30,-2,-5457,-5076,12765,0,134.83,-134.83, not,,,,
11,32,-3,-5457,-5076,12765,0,134.82,-134.82, not,,,,
10,31,-2,-5457,-5076,12765,0,134.82,-134.82, not,,,,
8,29,-2,-5457,-5076,12765,0,134.82,-134.82, not,,,,
11,29,-2,-5457,-5076,12765,0,134.84,-134.84, not,,,,
10,30,-4,-5457,-5076,12765,0,134.83,-134.83, not,,,,
11,30,-5,-5457,-5076,12765,0,134.83,-134.83, not,,,,
10,29,-4,-5457,-5076,12765,0,134.83,-134.83, not,,,,
10,29,-2,-5457,-5076,12765,0,134.83,-134.83, not,,,,
