ax,ay,az,gx,gy,gz,mx,my,mz,t
-3072,1852,16792,-7286,1719,20063,-17,-26,56,62608
-740,1660,16264,-7203,1635,17151,-13,-25,53,62644
-2620,436,16968,-5848,-828,16839,-12,-27,55,62679
-268,1440,15992,-1977,-1938,16667,-9,-29,57,62714
-2556,-684,16596,395,-1150,13006,-7,-28,55,62750
-1024,844,16716,4454,-6535,13711,-6,-31,52,62785
-820,840,17020,9335,-9255,13345,-6,-34,52,62821
2732,2156,14580,10699,-8407,12874,-7,-35,53,62856
600,3172,17452,7595,-8590,13830,-7,-38,52,62892
4104,3216,14040,6791,-6072,11490,-6,-40,49,62927
4140,4456,16396,5178,-5164,12914,-5,-39,48,62962
4652,3584,14196,3244,-1456,10801,-4,-41,49,62998
4528,6268,18364,2804,-4529,15231,-2,-41,47,63034
3804,2424,14556,3,1195,9438,1,-42,46,63069
4484,5576,16416,-2396,6047,13239,2,-40,48,63105
1396,376,15392,-4430,802,12621,9,-39,48,63139
4528,2292,14624,-4877,4090,8146,7,-37,47,63175
4952,2480,16828,-1775,-1962,13711,14,-36,47,63210
3828,204,15008,-3124,294,9577,15,-37,47,63246
4956,764,16060,-826,1377,8840,14,-36,47,63281
5032,-980,15092,-473,-2962,7111,18,-35,47,63316
3824,1196,17536,-1363,-4076,3995,19,-37,46,63352
4216,-1436,16904,-5388,-6909,5725,21,-36,47,63387
5276,-976,14968,-5001,-5965,6944,23,-37,44,63423
6004,-1620,13180,-4596,-3203,9414,25,-37,42,63459
6816,-1324,12940,-1534,7803,9199,27,-35,44,63494
4000,480,15780,2983,11236,12324,30,-29,44,63529
3936,-1248,19356,7161,2526,15487,29,-27,44,63564
3900,-1356,15872,4967,-1291,16307,30,-24,47,63600
4672,-108,14776,3437,2239,15380,29,-24,45,63636
4152,-464,14188,3060,3763,16283,31,-21,49,63671
2396,-1256,16616,2368,5395,16349,31,-16,48,63707
1560,-216,15732,4017,417,17134,33,-12,49,63742
788,-3920,15716,5025,4906,18345,33,-8,50,63777
1768,-1868,17152,2903,2345,17668,32,-5,51,63813
644,-1152,16492,2462,492,16772,32,-3,52,63848
1256,-3312,14580,4733,-296,16988,32,3,53,63884
1792,476,16796,2781,4406,17330,32,4,52,63919
-852,-1456,18296,42,-2481,17859,31,6,52,63954
1712,-2128,16020,-10,-7695,17789,30,7,52,63990
3028,-1408,16876,1023,-2428,18907,29,9,51,64025
396,-2516,15960,2293,-7556,17778,28,11,54,64061
2748,-1328,12812,1516,-4653,17525,26,12,54,64096
2904,-1920,15896,380,1736,18851,23,14,55,64132
1784,-2540,16092,1578,-2497,16862,22,15,56,64167
2772,-2424,16024,2512,890,14982,19,21,55,64202
2372,-1840,17612,2257,606,14760,18,20,58,64238
1548,-1136,15164,2138,-2733,14871,15,20,55,64274
1548,-1328,15564,3194,-1502,16515,13,19,56,64309
2868,-1008,17232,4302,-390,18523,9,23,57,64345
424,-1516,16320,4410,-3178,20986,7,23,57,64379
1044,-744,15628,4116,-3108,21696,3,24,59,64415
2476,-1276,16472,4034,-2138,21558,-2,20,55,64451
2536,-560,16360,3240,-3025,21855,-6,23,59,64486
1004,-1576,15480,3699,-3185,20820,-8,21,58,64522
1888,-2436,16088,3499,890,17156,-11,22,59,64557
1064,-2028,15004,2418,-3442,11754,-13,21,59,64592
1692,-1128,14140,-244,-4327,8163,-12,19,59,64628
3336,-936,16108,-675,-1063,8184,-13,18,59,64663
1804,-2356,14648,494,1870,7867,-16,17,58,64699
2228,-872,16488,1961,7135,6447,-17,20,59,64734
2204,-1328,12708,2262,9954,6562,-16,21,56,64770
32,-1188,15960,-706,-4513,8642,-18,22,57,64805
1708,-260,15620,2515,-2726,9303,-20,21,58,64840
1032,-504,15044,4138,1135,11146,-20,18,58,64876
1872,472,16976,2814,-609,9036,-20,19,56,64911
416,484,15648,1449,-1114,10134,-23,17,57,64947
1404,-464,15588,610,1086,8441,-24,17,56,64982
764,1468,15844,-4099,-4802,9392,-24,13,57,65017
1572,-2976,15120,-5748,-1994,11422,-23,13,58,65053
1024,-1124,17152,-277,642,12211,-25,12,57,65088
956,-1904,16872,4158,1039,11617,-25,11,58,65124
728,-1196,17292,3020,-2255,13013,-26,9,54,65160
1288,-1244,16716,2812,-2894,12132,-27,5,57,65195
1232,-864,16328,4477,-1143,14033,-29,6,55,65230
1608,-2860,16420,5362,422,11528,-32,3,54,65265
2988,-912,15480,4647,204,6641,-33,3,54,65301
1968,-80,15440,4250,1524,5727,-34,2,54,65336
860,624,16172,2674,722,4860,-33,0,53,65372
1340,368,15708,2722,335,6186,-35,2,50,65406
1196,740,16136,2195,1298,3323,-37,0,53,65442
940,28,16964,-1346,120,554,-34,1,52,65477
1736,48,16364,-1140,485,-1205,-35,2,53,65513
1120,164,16632,809,979,740,-35,1,53,65548
712,372,16792,943,518,427,-35,3,53,65584
1444,248,15972,944,606,987,-36,0,52,65618
1004,792,16224,1058,722,207,-35,2,52,65653
1184,884,16056,217,26,757,-36,1,51,65689
1032,912,16116,448,581,78,-35,0,55,65724
1088,584,16208,-771,510,-504,-35,2,52,65760
624,492,16528,864,679,380,-36,0,52,65795
908,848,16644,1598,921,1060,-36,2,52,65829
1284,856,15904,187,399,-202,-38,0,54,65865
1052,-144,16108,-1019,-257,-1170,-36,2,52,65900
884,828,16284,-1150,-404,-2079,-36,3,51,65936
1228,548,16120,-584,-168,-487,-35,-1,51,65971
1160,-64,16576,580,583,-598,-35,2,52,66007
980,1084,16148,168,224,-723,-36,0,52,66041
736,352,16424,-251,182,-1210,-35,3,53,66077
120,1384,16364,-195,450,-1868,-34,2,52,66112
1108,1060,15460,-221,3396,-514,-34,3,51,66148
372,396,16824,62,991,-650,-34,6,51,66183
716,1052,16184,68,4292,-220,-34,4,50,66217
344,864,15864,-219,8432,148,-35,6,50,66253
-1248,272,16616,-211,5316,-250,-36,7,48,66288
-1252,872,16216,-520,10010,-560,-35,10,49,66324
-2428,-132,16556,-185,5454,-307,-33,11,47,66359
-2992,668,16396,834,5779,-28,-35,14,46,66395
-2824,536,16192,366,634,-20,-35,13,48,66429
-2900,804,16052,422,177,-108,-34,13,49,66465
-2688,716,15760,343,345,-177,-34,13,48,66500
-2764,952,16016,-36,-245,-326,-35,14,48,66536
-2812,404,16288,-386,-408,-332,-36,13,49,66571
-2844,512,15992,586,59,-32,-34,13,46,66607
-2668,956,15984,173,183,-72,-33,14,48,66641
-2880,408,16244,110,-198,-343,-36,13,48,66677
-2676,916,15928,733,634,-928,-34,15,48,66712
-2700,1092,15600,194,406,13,-34,14,47,66748
-2572,884,15616,-289,624,-398,-33,13,48,66783
-3104,572,16340,-282,429,-93,-36,15,47,66819
-3232,844,16328,109,592,-839,-34,14,48,66853
-3112,1068,15904,-231,256,-259,-35,14,48,66889
-3040,1176,15728,-594,257,378,-35,14,47,66924
-3044,656,16112,-689,210,565,-34,16,47,66960
-3048,156,16364,-77,471,772,-36,16,47,66995
-3424,792,16076,549,926,1371,-36,14,48,67030
-3136,788,15912,423,459,2165,-35,13,49,67065
-2832,600,15900,-1101,-585,542,-34,13,47,67101
-3092,336,15988,-1066,-445,210,-34,13,49,67136
-2932,392,16016,328,975,144,-36,14,47,67172
-3188,868,15956,396,1030,370,-36,13,47,67207
-3032,740,15800,17,688,462,-34,15,46,67241
-3380,48,16384,-293,358,-245,-33,14,48,67277
-3660,804,16560,809,689,117,-33,14,49,67312
-3704,992,16296,679,402,1027,-36,16,48,67348
-3608,584,16632,1249,34,1137,-35,14,46,67383
-3440,956,15920,1121,150,1126,-34,15,50,67419
-3028,432,15564,1634,1007,-205,-36,18,47,67453
-3068,1372,15400,2678,725,-731,-37,15,44,67489
-3124,308,16368,3432,945,414,-34,17,47,67525
-2824,2952,16820,5414,591,439,-39,14,44,67560
-3796,1640,15512,5450,1365,-344,-41,14,44,67596
-4280,3148,15944,5451,2080,1870,-42,15,42,67631
-4636,4524,17172,6520,640,2830,-42,18,42,67666
-3512,3020,15556,8997,2387,2391,-46,15,40,67701
-3660,6468,15464,12176,906,3295,-46,15,39,67737
-5332,3764,16148,18153,2962,2594,-48,16,35,67773
-5128,10820,16040,18260,-2050,550,-51,18,30,67808
-3492,8024,15632,15086,-464,-1551,-54,16,27,67844
-3664,8508,16360,8865,2350,725,-57,18,23,67879
-5228,10688,11492,10908,-677,2466,-57,18,22,67914
-3740,8320,12436,16038,360,1621,-60,19,17,67950
-4500,12188,11236,16998,-741,5038,-62,17,12,67986
-3840,12896,10636,21656,1318,4783,-60,17,6,68021
-3816,12340,10148,19809,2738,5573,-65,14,2,68057
-2892,15120,7936,15382,-236,6017,-62,14,-4,68092
-2756,14124,5960,17342,-2519,6686,-64,9,-7,68127
-2800,15092,7132,18741,-907,6603,-62,9,-13,68163
-1596,15920,3312,17979,-1067,7162,-61,10,-18,68198
-1324,16040,3560,19288,-1653,7454,-60,8,-25,68234
-732,16304,1720,17800,402,6022,-58,4,-29,68270
-20,16836,-68,16719,-604,5023,-54,5,-34,68304
56,15332,-768,16162,-1968,3850,-52,4,-36,68340
680,16868,-2784,18776,731,5349,-50,3,-40,68375
60,13808,-3200,18201,-379,3175,-47,2,-44,68411
2384,15904,-5260,15922,-747,5530,-43,2,-48,68446
1404,15252,-6368,17111,-614,7407,-40,3,-50,68482
1380,13204,-7656,17794,1802,4229,-34,1,-52,68517
3580,14492,-8928,17008,1113,3918,-29,-1,-55,68552
2636,12236,-8760,14957,-368,4548,-27,0,-58,68588
3728,13020,-10424,11156,655,4464,-24,-2,-59,68623
3628,11456,-11660,10337,-1150,4852,-20,-1,-59,68659
3260,10572,-11464,9639,-1591,4032,-17,-2,-60,68695
4060,10872,-12428,7954,-561,3462,-14,1,-62,68729
4052,10040,-13252,8997,-1257,4544,-13,1,-59,68765
3500,9648,-12764,9371,-153,3377,-8,-1,-63,68801
4652,9408,-13316,8334,-942,3344,-7,1,-62,68836
3572,7564,-13272,7997,-1274,4188,-4,0,-62,68872
4376,7848,-14180,8769,1474,5642,1,1,-61,68907
4524,6876,-14424,9174,-947,6191,2,0,-64,68942
3160,6440,-14672,9348,757,5551,6,1,-63,68977
4424,5228,-14600,7231,1081,3166,7,0,-63,69013
4356,4384,-15088,7398,1207,3416,10,-1,-63,69048
4944,4556,-15124,7238,2052,3320,13,-2,-61,69084
5404,4052,-15712,7559,1019,3239,14,0,-61,69120
6536,3256,-17636,8243,-5531,2602,19,2,-59,69154
4788,1808,-15636,9580,-4610,2929,19,1,-58,69190
3892,2196,-14720,9625,1583,3593,23,1,-57,69225
4668,1324,-14884,6014,1839,2556,23,1,-57,69261
4732,160,-15588,6587,2063,2327,27,1,-57,69297
5032,1136,-16224,8228,687,4340,30,-1,-56,69331
5052,-200,-15652,5690,-1973,840,32,3,-55,69367
5104,-1388,-16100,3588,79,-567,31,-1,-55,69402
4220,-3696,-14744,5347,3444,-621,33,2,-53,69438
5204,-2540,-13176,1762,2127,110,33,0,-53,69473
4460,-1836,-15064,-3079,-3036,-1699,31,2,-53,69509
5216,-972,-16136,-1345,-2119,-3217,32,3,-53,69544
5392,-1484,-15852,1378,-570,-2100,31,0,-54,69579
4772,-2112,-14928,3172,-4337,-1111,33,1,-53,69615
4468,-228,-15300,5099,-4229,120,34,2,-50,69650
4488,-2260,-15916,8279,-5315,1712,34,4,-51,69686
3392,-3080,-15356,9531,-2711,2669,34,5,-49,69721
3012,-4212,-15244,9636,-4524,1600,38,7,-47,69756
4428,-3420,-17832,11057,13,515,43,5,-44,69792
3796,-5492,-16980,11565,2245,1951,43,7,-41,69827
3236,-5828,-14436,13006,-908,455,45,7,-40,69863
4240,-6264,-13948,12502,-5705,2541,47,8,-39,69898
3080,-8184,-16220,10648,-2566,2053,51,8,-33,69934
2588,-7944,-13168,13948,-1981,1346,52,9,-30,69969
2616,-8676,-12664,12189,-1451,1579,51,9,-30,70004
4064,-8908,-14168,8059,-4133,2363,53,9,-24,70040
-116,-12268,-12552,10764,1305,2263,56,9,-22,70076
1416,-11556,-11636,12874,-737,-1352,55,12,-18,70111
3128,-12132,-13600,8420,1783,-542,56,10,-17,70147
656,-13128,-10652,9027,5014,-1473,59,10,-14,70182
2000,-12012,-9020,14563,-1238,-871,58,8,-10,70217
3180,-12868,-10224,11409,-180,214,58,8,-7,70253
2824,-13420,-10412,9266,2375,858,60,7,-4,70288
1388,-13836,-5920,13977,-1207,2328,59,9,2,70324
1920,-15800,-9728,14495,2549,-461,58,8,7,70360
1412,-15752,-4852,11108,5413,-3021,58,7,9,70394
3460,-14332,-5228,9394,11946,-3380,57,4,14,70430
2356,-16760,-5324,14197,4982,-1315,56,5,18,70465
3684,-15864,-988,14160,4139,1417,55,5,21,70501
3044,-16100,-1192,9919,2120,236,54,4,25,70537
3192,-16832,-2176,10850,4628,-491,54,5,29,70572
3052,-15096,512,12113,3610,392,51,5,28,70607
2792,-16504,-220,13879,2722,-439,50,3,34,70642
3580,-15476,2152,15926,2030,-797,48,5,38,70678
3472,-15140,3644,14025,3317,-407,46,6,39,70713
3268,-15024,3924,15235,1936,-457,43,5,44,70749
3496,-13992,5364,17284,3125,46,41,5,45,70784
2864,-14696,6976,17132,5153,-1288,37,6,49,70819
4324,-13780,9704,14234,1857,-416,33,6,50,70855
2560,-13288,9072,12323,4317,652,30,6,52,70890
2972,-12632,8904,14211,1916,-308,27,5,55,70926
3040,-11908,10876,16432,860,-262,22,9,57,70961
2236,-11096,10588,16744,4094,443,17,8,56,70996
2656,-9292,12896,17346,4854,1881,12,11,59,71032
1116,-8884,13760,15229,4923,2211,10,13,59,71067
708,-7688,14028,12638,3274,775,5,14,59,71103
2056,-7836,14784,12651,2508,288,0,15,59,71138
924,-6224,14636,12664,6969,1014,-3,16,57,71174
276,-5076,15164,11434,2708,1726,-6,18,58,71209
1132,-4908,16268,9685,1539,545,-11,17,57,71244
-688,-4980,15840,10002,5322,-492,-12,19,57,71280
132,-3312,16440,8945,3346,2306,-17,21,56,71315
-764,-2740,16140,5095,3520,4450,-17,22,55,71351
-788,-3444,16980,3713,1727,3266,-20,19,54,71387
-1136,-1928,15060,6537,3933,1640,-21,21,54,71421
-104,-2636,17120,6860,-1430,7346,-25,21,53,71457
-1396,-876,16732,7298,3837,11303,-24,22,50,71492
-1828,748,15688,7737,3381,10954,-28,20,51,71528
-2360,240,16632,6716,1412,8609,-30,19,51,71564
-1364,888,15760,5953,1973,9820,-33,20,48,71599
-2636,1372,16196,6098,1928,8424,-36,20,49,71634
-2328,2212,16136,7001,2215,8630,-39,16,47,71669
-4076,2180,18028,7445,552,4270,-40,18,46,71705
-1008,2448,15756,8986,-1712,4275,-43,16,44,71741
-3268,4900,16008,8867,2212,6325,-46,18,43,71776
-2952,4492,15240,1593,-1454,989,-46,15,43,71812
-612,4292,15688,-1239,-38,1745,-44,16,42,71846
-2860,4824,15356,-3941,2750,1931,-45,15,43,71882
-1960,3828,15236,-4968,1047,861,-44,14,45,71918
-2144,3424,15628,-2927,1732,801,-44,16,43,71953
-2316,3844,15924,-4357,2778,1977,-42,15,43,71989
-3000,2744,16004,-2954,-620,428,-43,16,45,72024
-2720,3012,16300,-26,1642,634,-40,17,43,72059
-3492,2868,15364,-621,-1168,43,-44,16,44,72094
-2324,3200,16496,798,-866,168,-42,13,46,72130
-1960,3332,16880,-1906,705,-149,-41,14,43,72166
-2692,2956,16532,-3888,1978,-117,-41,17,45,72201
-2684,2392,15612,-2891,1062,-612,-39,16,46,72237
-2976,2036,16152,-3175,1684,-1401,-39,18,47,72271
-3548,1728,15060,-4053,-238,-3926,-39,16,47,72307
-3456,996,14968,-4176,-745,-5044,-36,19,48,72343
-2408,1356,15676,-2075,418,-3965,-37,18,47,72378
-3376,456,16412,2269,58,-3931,-37,21,47,72414
-4000,-696,16196,2933,-3476,-8234,-35,19,44,72449
-4256,936,17628,3383,-3818,-15165,-35,19,47,72484
-1820,556,14352,3440,-3277,-17286,-35,23,45,72520
-3612,2500,16148,4611,1568,-18626,-32,27,45,72555
-3124,1580,15816,1009,202,-18894,-32,28,46,72591
-4300,1396,15576,-1200,6995,-21512,-29,36,43,72627
-4108,1952,16272,-325,5322,-22960,-25,39,43,72662
-3068,716,16592,164,3452,-21328,-18,41,43,72697
-3652,1356,15924,1258,4358,-19620,-19,42,39,72732
-3196,560,16408,1211,4341,-17519,-12,44,41,72768
-1272,-596,11812,-10154,9433,-16247,-9,44,40,72804
-6376,-4056,13388,-6196,20386,-23495,-3,51,36,72840
-4568,-2552,18376,9078,6987,-18301,1,50,34,72875
-9768,728,18604,13377,-4556,-12755,2,51,34,72910
-4164,-1396,13568,6687,-5079,-10585,2,49,36,72945
-4056,-4468,12824,5171,8483,-11187,3,52,35,72981
-8688,-1764,16240,4902,2762,-15180,7,51,35,73017
-6872,-1968,13288,1018,4755,-13636,10,49,35,73052
-6740,-1340,16060,3919,3011,-15721,13,49,34,73088
-7340,-2448,15364,3773,64,-13520,15,47,32,73123
-5976,-1412,14256,282,-210,-10253,16,49,36,73158
-7676,-2552,14600,-688,1780,-10223,19,48,34,73194
-6852,-3848,15076,-519,-4910,-9831,22,45,32,73230
-5776,-4296,13532,3495,-1097,-12380,23,43,37,73265
-5316,-4748,16088,3216,-2097,-14234,26,41,35,73300
-3372,-4308,15012,1395,11,-13686,28,39,36,73335
-2408,-1560,16376,-1469,1567,-8311,27,39,38,73371
-4924,-4460,15040,-1661,2163,-8726,32,37,34,73407
-7368,-7136,14828,1025,-1380,-11934,34,34,34,73442
-6616,-4764,14956,3883,-2591,-14764,35,30,36,73478
-5084,-5984,16484,1051,-3888,-15691,37,27,37,73513
-6284,-4792,14652,-604,-1957,-18180,38,23,38,73548
-4860,-6692,15908,-1860,-1333,-22509,43,16,39,73584
-2336,-6128,14056,568,-1572,-24818,45,11,41,73620
-76,-4628,14932,1287,332,-22017,45,7,38,73655
1424,-2860,14716,-104,3462,-20692,45,2,40,73691
996,-8340,17496,108,4503,-17021,45,-2,38,73725
-856,-2616,15072,2450,-3303,-17342,45,-5,40,73761
980,-3188,16092,-301,245,-20459,43,-10,40,73797
704,-8300,15884,-1331,-463,-21299,41,-14,40,73832
-636,-3716,12916,667,-994,-24353,41,-20,40,73868
752,-5132,14640,-2669,5204,-28031,37,-23,39,73904
-1516,-4496,14324,-3816,7023,-31444,32,-28,42,73938
1392,-2096,17044,-2283,-2509,-32768,29,-33,43,73974
6176,-724,15052,-5354,-5963,-29102,27,-38,37,74010
7576,-2136,13380,-3702,-795,-23029,21,-42,37,74045
7604,-2892,12768,1688,235,-16975,19,-45,39,74081
5784,-912,14032,3084,6472,-12504,15,-43,40,74117
3944,-2328,15844,2107,7750,-11388,12,-41,42,74151
1840,-1236,16448,1576,4188,-13980,7,-43,43,74187
3200,-1016,17280,-151,2814,-15482,7,-44,43,74222
3244,-848,15928,-706,1317,-16082,2,-44,45,74258
3792,-884,14208,1392,1128,-16188,-2,-44,44,74294
5156,788,16092,2535,3618,-14307,-4,-43,45,74329
7332,-276,16752,1928,3587,-9690,-7,-42,44,74364
5084,1308,16784,1695,8091,-5004,-7,-41,46,74399
804,-468,15300,-3729,6416,-6067,-9,-42,48,74435
2380,740,16968,-508,1032,-7973,-8,-38,47,74470
3588,-820,15252,2604,857,-8016,-9,-39,47,74506
3868,812,14084,5278,4601,-8644,-13,-37,49,74542
4068,2016,12472,6447,10689,-7296,-16,-36,47,74576
-692,3144,15980,8729,18503,-6057,-20,-30,50,74612
-4496,2480,25180,9278,-799,-7035,-21,-29,50,74648
-1076,3828,21048,-3119,-9192,-11825,-22,-30,48,74683
1000,4592,11136,-3216,-3813,-11612,-23,-26,47,74719
3152,2612,11488,7376,-9332,-10194,-28,-30,46,74755
2624,3456,16000,9784,-9803,-9904,-30,-29,44,74789
3004,4436,16828,6499,-5491,-9706,-34,-29,42,74825
2108,6088,16388,1758,133,-9406,-35,-27,42,74860
-544,4212,16920,-1611,3287,-11269,-37,-26,42,74896
-1224,4756,15224,-1238,393,-15316,-39,-23,42,74932
296,5728,14572,-439,659,-17619,-41,-20,44,74967
1576,6028,15488,860,1076,-16133,-41,-16,41,75002
1464,6284,14948,630,2006,-13113,-43,-14,42,75038
1252,4800,15048,94,1950,-10277,-45,-13,43,75073
-596,4656,14544,2561,3856,-8142,-45,-10,40,75109
-2240,4180,14480,3653,1901,-9274,-45,-8,42,75144
-2996,5816,16748,3137,2155,-11491,-46,-5,42,75180
-2040,5696,16424,767,-198,-11911,-46,-2,43,75215
-1932,4528,15748,-251,-860,-11586,-47,0,40,75250
-1260,6840,15200,-620,-1941,-10227,-47,1,42,75286
-1444,3476,15304,-621,-504,-8103,-49,2,41,75321
-3508,4084,15232,-659,-1587,-8474,-45,4,41,75357
-2956,5596,14760,-480,-1489,-9655,-45,6,42,75393
-2876,2836,16720,-1892,-1193,-9601,-45,6,42,75427
-3596,5332,16188,-2382,-2909,-10276,-46,10,41,75463
-2176,1856,15248,-4405,-817,-9590,-42,9,41,75499
-4064,4172,16300,-1811,-2834,-9947,-43,11,44,75534
-1648,4544,15572,-3530,-2019,-9017,-42,12,44,75570
-2408,2800,16568,-3761,-1138,-6602,-40,14,47,75606
-2928,3312,15040,-3091,-3317,-5880,-39,14,45,75640
-1612,2588,14724,-2163,-1092,-4592,-41,14,44,75676
-2876,1160,16356,-704,-1557,-3217,-38,16,46,75711
-2504,2616,15440,-1314,-866,-3656,-39,16,46,75747
-2160,1080,16240,-674,-275,-2354,-38,15,48,75783
-2748,2440,16020,-134,-31,-2577,-38,16,45,75817
-1184,2216,16924,162,-1685,-679,-36,15,46,75853
-2468,2172,16540,-267,-1327,1148,-39,14,47,75888
-2008,2172,15292,362,-3697,1595,-39,13,46,75924
-3376,792,16152,-411,2172,974,-36,14,48,75959
-3848,2100,16664,-13,272,-1492,-38,15,47,75995
-2336,1488,16772,-1001,380,-2671,-38,14,47,76030
-1880,2292,16824,-265,-2969,-2196,-37,15,48,76065
-600,1908,16400,-1927,-2703,-570,-37,14,48,76101
-2032,1232,16672,-3390,1114,-311,-36,12,49,76136
-1244,1144,17024,-4436,-668,-188,-34,12,48,76172
-1324,652,15444,-3933,-4123,997,-32,11,52,76208
-932,-100,15252,-1160,-3447,1390,-34,13,50,76242
-492,592,16388,228,-4775,1604,-34,9,51,76278
188,404,16696,1862,-9085,2686,-32,8,52,76313
-544,372,15848,4265,-13298,3432,-36,3,51,76349
1532,840,18720,3912,-15014,2386,-35,-1,51,76384
2240,564,15040,3271,-15235,3164,-38,-5,50,76420
1864,1148,18936,1393,-15396,1589,-38,-9,51,76455
4304,2152,22188,-630,-17025,1111,-38,-14,49,76490
8776,1012,8720,-821,-21985,7707,-36,-23,47,76526
4964,-1068,11696,2470,-15205,5188,-35,-26,46,76561
5924,1208,16672,1708,-22306,-782,-35,-28,42,76597
12080,2652,12620,-352,-19645,-945,-35,-36,41,76633
10816,964,9180,2238,-19226,730,-33,-38,37,76667
13772,2436,10136,2950,-16090,-426,-35,-40,34,76703
14528,3052,8556,2818,-15803,3733,-35,-45,30,76739
11588,880,8916,1609,-17170,3578,-35,-43,25,76774
12956,740,9732,3334,-26141,1685,-37,-45,21,76810
11432,224,2752,2894,-32768,-451,-36,-48,10,76846
14132,940,4552,1686,-32768,-5521,-39,-49,4,76880
18200,2304,-4468,1266,-27863,-4701,-38,-46,-3,76916
15612,3360,-2024,2448,-21753,-1849,-40,-43,-10,76952
15876,2084,-4304,1951,-25583,11,-38,-45,-16,76987
15380,1812,-8572,5309,-20353,654,-37,-40,-21,77023
14372,1336,-7956,7643,-19889,21,-39,-36,-26,77059
12476,1172,-7128,8555,-25683,-1110,-37,-33,-31,77093
12668,2824,-10036,967,-25562,-1640,-37,-28,-35,77129
11420,2896,-14064,-2613,-23083,1598,-39,-22,-39,77165
7868,960,-11404,-140,-23784,1934,-38,-19,-44,77200
7964,1608,-16648,306,-30716,339,-38,-12,-47,77236
6660,1832,-14892,-2541,-22864,200,-40,-5,-47,77272
4636,2184,-16124,-4268,-23966,1758,-41,-3,-48,77306
3124,1488,-16752,-3094,-20549,2214,-41,3,-49,77342
1252,1208,-15668,-3678,-23175,1423,-44,7,-48,77378
-892,1440,-17648,-1808,-25252,1005,-42,12,-48,77413
-2412,2692,-15844,-1162,-23457,-1319,-44,19,-46,77449
-3000,2612,-16120,-735,-19998,-462,-45,19,-47,77485
-5168,3400,-14488,204,-19475,604,-44,26,-44,77519
-6216,2668,-16412,-1875,-19953,72,-42,28,-40,77555
-8836,3880,-13388,-3439,-17195,447,-46,31,-38,77591
-9832,5164,-14672,-5139,-21611,5093,-44,33,-35,77626
-11764,3104,-14768,-3451,-19418,5754,-50,34,-31,77662
-11312,4456,-9164,-1123,-16371,3361,-48,34,-28,77698
-13180,2044,-14368,-2635,-17261,1642,-50,38,-27,77732
-11600,5932,-9448,1688,-12460,-788,-47,39,-25,77768
-13056,4116,-8560,1929,-7837,1430,-50,39,-24,77804
-13672,4700,-10516,2108,-6598,399,-49,40,-23,77839
-12892,4032,-6236,4168,-9067,2724,-47,38,-24,77875
-13432,1280,-6504,4178,-17885,4784,-51,38,-19,77911
-16852,4800,-5532,3177,-20061,-138,-48,39,-17,77946
-15500,5004,-5932,523,-11648,-6661,-49,44,-18,77981
-14992,2152,-4372,3099,-16777,-3439,-48,44,-14,78017
-16520,3556,-2656,4480,-14668,-5527,-44,47,-13,78053
-14740,3908,-456,2629,-17411,-4755,-46,49,-11,78088
-17100,2860,-208,1695,-20823,-2937,-43,49,-8,78124
-16100,3964,-376,654,-17639,-6097,-43,52,-2,78159
-17328,2416,1764,1221,-21923,-6105,-44,50,1,78194
-15248,1828,1520,3443,-21451,-7013,-43,50,6,78230
-15172,-540,4164,7635,-19178,-6635,-40,49,6,78265
-15532,-28,5852,10389,-24940,-7396,-39,50,13,78301
-13392,1028,8184,12584,-27423,-7506,-39,50,16,78337
-11340,872,9700,13344,-32768,-7938,-39,45,20,78372
-9012,1988,13740,9783,-25225,-5273,-38,43,24,78407
-9196,2580,13800,6313,-18119,-3390,-39,41,29,78443
-8292,1208,15544,4444,-13972,-2555,-38,40,30,78479
-7168,2148,15076,3179,-13003,-3744,-39,39,32,78514
-6028,2516,16184,1497,-11429,-656,-36,35,32,78550
-4652,2104,15676,-3327,-7469,608,-39,34,36,78585
-5552,1280,14904,-1649,-3839,-583,-37,33,36,78620
-4980,1840,15848,-548,-3111,-815,-39,34,35,78656
-3924,1552,15828,-2237,-4092,-977,-38,32,38,78691
-5420,1056,15532,-3262,-5069,-348,-35,31,41,78727
-4572,1460,16512,-2805,-10986,-2260,-36,26,41,78763
-1996,1148,14636,-3248,-7450,-999,-34,25,43,78797
-2704,196,16240,-1199,-6136,-717,-36,25,46,78833
-2052,636,15696,-1130,-5493,-889,-36,23,48,78869
-1832,408,15788,-795,-2599,39,-33,21,47,78904
-2132,788,16756,-695,-4159,269,-33,22,45,78940
-1412,976,16384,-1367,-2711,1110,-33,19,46,78974
-832,188,15848,-1372,-2408,1391,-35,20,48,79010
-1784,144,17388,199,-1767,748,-33,18,48,79045
-688,360,17104,-1182,-5051,991,-34,18,48,79081
816,24,14784,-1067,-777,769,-33,17,49,79116
-1140,596,17832,590,-2000,881,-33,15,49,79152
-324,792,15856,-1019,-2904,1094,-32,15,49,79186
96,600,15800,-1066,-1303,2442,-32,13,49,79222
-744,44,17296,-421,-3680,2835,-33,11,50,79257
380,568,16020,-776,-3395,2270,-32,13,51,79293
560,-44,16660,-137,-859,3442,-32,9,51,79328
544,-232,17464,1478,-1990,2225,-33,11,50,79364
1316,1144,17700,-229,-2739,2584,-33,9,50,79398
2144,-1356,16748,-717,-1920,2306,-32,8,51,79434
1936,-1292,16464,3075,-1132,-178,-33,7,51,79470
