ax,ay,az,gx,gy,gz,mx,my,mz,t
2068,1080,16124,-744,339,308,-29,10,43,49374
1976,824,16464,-1203,-282,221,-28,9,43,49410
2060,932,16300,-566,442,82,-30,10,41,49444
1992,928,16288,-461,478,198,-29,8,43,49480
2072,960,16308,391,461,449,-29,9,41,49515
1864,1020,16396,416,785,93,-29,10,43,49551
1852,56,16140,-122,264,-120,-28,8,43,49586
1776,816,16232,138,586,221,-30,7,40,49620
1956,792,16276,-480,111,199,-29,9,42,49656
2004,752,16140,-433,-152,62,-29,10,44,49691
2052,732,16204,-612,-159,-27,-28,9,41,49727
1920,640,16388,-380,-85,-141,-29,10,43,49762
1972,604,16408,-326,-57,-322,-29,8,43,49798
1840,592,16460,142,137,-290,-31,9,41,49832
2032,620,16384,81,-13,-326,-30,8,41,49867
1616,812,16400,167,102,-122,-29,9,43,49903
2084,712,16208,-59,-196,-78,-29,9,42,49938
1996,760,16032,410,506,-116,-29,9,42,49974
1756,780,16100,24,232,13,-28,10,42,50009
1888,604,16404,-141,437,20,-27,11,42,50043
2096,780,16024,-209,257,62,-29,10,42,50079
1748,640,16604,-861,-260,293,-29,8,41,50114
1772,384,16188,-767,-165,8,-27,10,41,50150
1584,624,16456,77,130,-425,-27,11,41,50185
1816,888,15860,115,1079,-437,-29,9,41,50221
1644,444,16140,71,1033,-602,-29,9,42,50255
1576,624,16336,709,1690,-1026,-29,11,41,50290
1564,608,15948,955,3174,-661,-29,11,42,50326
1396,804,16280,609,2724,-368,-29,14,42,50361
1112,588,16268,675,2907,111,-29,12,42,50397
780,1100,16576,65,1964,79,-29,12,41,50432
828,948,16288,-156,1395,96,-32,12,42,50467
524,884,16324,239,1341,224,-29,12,41,50502
380,916,16388,235,1627,402,-29,14,40,50538
652,584,16008,651,3269,322,-28,13,40,50573
-640,1648,17184,179,7116,-319,-29,14,41,50609
-140,880,16428,-751,3839,228,-27,16,40,50643
-760,1016,16448,-662,5643,300,-29,17,37,50679
-1268,800,16352,-153,6330,-25,-30,18,38,50714
-1568,780,16148,188,6330,-566,-29,20,37,50750
-2172,796,17000,762,9496,-11,-29,21,36,50785
-2716,772,16136,-194,12280,151,-29,23,36,50821
-4904,1028,16116,-1032,11315,-340,-29,26,35,50855
-4308,644,15548,-1848,6134,-1052,-28,27,35,50891
-5468,388,15576,-2032,8769,-1076,-29,29,34,50927
-5892,476,14960,-1411,6466,-965,-28,29,33,50962
-5928,272,15280,-1157,6652,-272,-26,32,32,50998
-6852,276,14736,-980,7484,50,-29,32,32,51033
-6820,136,14416,-920,7601,134,-27,34,28,51068
-8736,-148,14680,-284,10116,674,-27,35,29,51103
-8644,292,13568,-751,6482,-702,-27,39,28,51139
-7340,372,13016,-521,7549,63,-28,37,26,51174
-9908,-224,14004,-656,11664,1840,-24,41,26,51210
-9880,436,12396,-2272,6644,549,-26,40,24,51245
-9876,-608,12020,-1792,9223,-71,-28,39,23,51280
-11948,-556,13224,-3134,10474,1867,-27,44,19,51316
-9804,548,10848,-2179,8936,1428,-29,44,20,51351
-15104,-1516,12316,-351,11129,3810,-27,44,16,51387
-13024,244,9692,1282,6723,5441,-29,43,14,51422
-10900,1756,8600,2458,8336,1279,-30,44,13,51458
-15896,228,9852,1682,11149,3040,-31,45,10,51493
-13104,872,7844,1157,7473,4416,-32,43,7,51528
-11136,1864,7564,716,10567,576,-32,44,6,51564
-17976,1192,9444,966,11995,3907,-32,44,3,51599
-14240,1308,6260,1483,7382,4242,-33,45,0,51635
-14336,1352,5716,1197,11242,840,-34,45,-3,51671
-17216,2340,6548,2819,8534,4168,-34,46,-2,51705
-12940,2752,3200,3224,8768,2430,-36,45,-4,51741
-16920,2792,3596,2089,13175,1017,-36,43,-7,51776
-16816,2424,2984,1598,7659,2453,-35,43,-10,51812
-14792,3716,1900,2253,9488,1379,-37,43,-10,51848
-17136,3276,1600,1291,12192,2630,-35,44,-14,51883
-16448,3652,744,418,9606,4466,-35,41,-16,51918
-15148,4096,-88,83,12680,3901,-37,42,-16,51953
-18680,4720,-56,-171,12910,6759,-35,37,-18,51989
-13744,4044,-2664,-577,12797,6537,-40,38,-21,52025
-14236,4752,-3188,-62,15759,5289,-38,34,-20,52060
-14792,5012,-3820,838,15355,5160,-40,32,-25,52096
-13140,5712,-5224,256,15847,3791,-39,31,-26,52131
-13436,7104,-6748,-2422,18768,5689,-39,25,-26,52166
-14468,7180,-7552,-3572,17816,5189,-39,22,-29,52202
-11520,6788,-9160,-1462,17649,4292,-40,18,-27,52238
-12800,7856,-10292,-1277,25461,4320,-38,14,-29,52273
-11636,6132,-10940,3765,24303,-8,-40,12,-29,52308
-7936,7136,-13444,2460,25002,625,-39,8,-31,52344
-6400,9040,-12248,-2254,29527,2540,-39,2,-28,52379
-4664,6164,-14412,-5068,31648,3902,-40,-3,-31,52415
-3740,8004,-12920,-7506,32767,5211,-40,-7,-26,52451
-2664,9244,-13760,-3177,21420,5003,-40,-11,-25,52486
448,8768,-15360,2696,19218,5742,-38,-14,-22,52521
1348,8556,-13112,6639,10253,6122,-38,-17,-22,52557
4888,9076,-21088,275,24381,3702,-37,-18,-21,52592
-280,6688,-5564,2054,27494,6543,-38,-24,-19,52628
6524,5572,-17328,-389,14817,-1790,-36,-23,-17,52664
7252,8808,-14616,-7879,32767,-6893,-39,-27,-11,52699
8524,6308,-8324,919,14860,-4966,-41,-28,-7,52734
10796,10264,-14684,1821,20458,-7809,-43,-29,-6,52770
9224,9152,-10640,5515,22609,-8609,-43,-28,-3,52805
15384,10996,-1056,650,19765,944,-44,-29,-2,52841
11756,10044,-5744,-7898,26486,5424,-45,-32,4,52877
12812,6860,-6060,382,17092,7769,-43,-33,4,52912
14056,6396,-6068,2489,17953,4895,-43,-33,8,52947
10072,8688,252,2316,27998,175,-43,-33,10,52982
13576,7552,-1644,366,15698,-1100,-44,-30,15,53018
13768,8724,-1144,3526,18597,364,-44,-31,18,53054
14048,9856,932,3026,17351,4769,-44,-31,18,53089
15048,7136,904,1710,18552,5135,-41,-32,23,53125
16388,7888,2020,2385,14966,7599,-43,-32,23,53160
15628,5860,3056,2253,19956,10171,-41,-31,23,53195
13024,4324,6688,3280,19458,9265,-44,-30,28,53231
12504,3788,8844,1149,18554,5520,-41,-28,29,53267
12772,4748,10380,-1978,9635,3547,-41,-31,34,53302
13472,4708,8048,-2279,10277,4137,-40,-31,33,53338
12716,4384,9024,-2036,10209,2627,-40,-27,36,53373
12236,4324,9160,-2975,8456,1430,-39,-25,38,53408
12532,4712,11008,-4065,8954,-388,-39,-24,39,53444
13012,3952,9136,-3862,9251,3003,-37,-21,42,53479
11212,3212,11056,-2013,10712,2581,-35,-23,44,53515
10412,2684,11452,-2393,10356,1509,-35,-21,43,53551
9068,3308,12400,-3209,11760,-732,-36,-19,46,53586
9344,3192,11880,-2638,11059,-1004,-36,-16,46,53621
8416,2736,14044,-4359,13937,86,-35,-13,49,53657
8652,2436,14016,-4283,10222,1618,-35,-10,50,53692
6428,1780,13860,-3005,9625,3133,-33,-11,50,53728
5640,900,14484,-2667,9588,2218,-33,-8,52,53764
6308,1080,15996,-772,6603,1141,-31,-7,51,53798
4284,536,16396,-3314,6733,-808,-31,-3,52,53834
6044,1532,14956,-3471,3407,-1699,-30,-3,52,53869
5288,764,14848,-2294,3629,283,-31,-3,53,53905
5264,676,15708,-1654,1255,1626,-28,-2,53,53940
5152,-8,15740,-949,3464,1793,-28,0,54,53976
4688,416,15724,-1430,3935,1218,-28,-1,53,54010
4828,576,16968,-634,521,-651,-28,-1,52,54046
4084,8,15916,756,-115,-1387,-28,0,52,54081
3416,628,17340,3388,-4533,-223,-28,1,52,54117
5508,1628,15888,2876,-2769,-568,-28,-2,52,54152
4244,464,15552,664,-2558,-840,-29,-2,52,54188
7016,1424,13916,-1325,8530,1229,-28,-2,54,54222
3568,788,17628,-519,4968,2102,-26,2,52,54258
3372,224,15636,622,142,-719,-28,2,52,54293
4328,1648,16048,-238,-2389,-1869,-28,0,52,54329
4888,1308,14872,-2860,2290,-1261,-28,2,51,54365
3404,1164,15028,-423,2187,-851,-27,1,52,54400
4336,908,15212,-493,2793,1331,-27,1,52,54435
3908,348,15808,-694,4778,2018,-27,4,53,54470
2600,-144,16672,-78,3963,1527,-28,6,52,54506
2620,476,17280,-519,660,-506,-25,4,53,54541
3728,440,15512,-1390,869,2,-27,5,51,54576
4844,164,15320,-372,2485,1335,-26,3,53,54611
2464,168,15844,-337,1230,-478,-27,5,52,54646
2968,300,16668,-510,1738,19,-26,7,53,54682
2520,48,16564,-24,-1004,-775,-25,6,53,54717
3060,564,16048,-520,1869,-209,-24,7,53,54753
2224,0,16436,391,2007,517,-26,6,51,54788
1708,256,16808,-1133,1457,-1440,-26,7,53,54823
2164,-628,15320,1401,-79,-125,-26,6,52,54858
2704,420,16688,-553,-180,-122,-25,7,51,54894
2136,-16,15208,1053,1716,429,-27,7,52,54929
2092,372,16892,564,-302,-630,-26,6,54,54964
2836,128,16248,-38,1174,245,-26,7,52,55000
2196,436,16368,2790,765,-115,-27,9,53,55034
2636,164,16308,3775,2531,426,-26,8,52,55070
1696,1444,17724,3549,1279,328,-28,7,50,55105
2536,744,14800,2703,-146,327,-31,6,51,55141
1148,1504,16792,4116,1657,1063,-30,8,50,55176
1284,1984,17188,539,-756,-44,-31,6,50,55212
1984,1444,15304,843,-156,493,-31,9,51,55246
1860,1672,15924,1348,-9,677,-33,8,51,55282
1556,2292,16268,-215,317,260,-32,8,49,55317
1892,1540,15344,-1113,-238,328,-31,10,51,55353
1884,1724,15792,23,1102,-301,-32,9,47,55388
1612,1400,15952,412,476,-62,-34,8,51,55424
2040,2008,16312,541,1501,90,-31,6,50,55458
1008,1572,16888,-549,724,-70,-31,7,50,55494
1800,1524,16108,-124,-232,74,-30,7,51,55529
1500,1844,16752,-125,83,306,-33,9,49,55564
1716,1656,16480,-790,143,169,-32,9,49,55600
1468,1744,16240,-1040,180,127,-33,7,50,55634
1240,1404,16388,-1689,-320,-29,-31,9,47,55670
1848,1436,15412,-856,-398,-183,-31,9,53,55705
1380,1464,16136,-687,127,-462,-28,7,49,55741
1772,1188,15792,-836,536,-455,-32,7,50,55776
1512,1452,16644,-899,371,-276,-31,6,50,55812
684,892,16892,-1620,-826,-1906,-30,8,52,55846
2016,1000,15880,-389,-570,-1313,-31,9,53,55882
1704,1064,16668,-542,-91,-739,-28,9,51,55917
2272,856,15440,-1236,-189,453,-28,8,51,55953
3048,820,16308,173,558,1168,-29,6,50,55988
752,540,16620,-1780,64,886,-29,9,52,56024
1912,768,15544,-6,-595,-269,-29,7,53,56058
2116,1092,16312,468,47,-361,-28,8,51,56093
