-2896,-300,16012,7,51,-52,-35,22,41,40817
-2868,-304,16104,59,56,-35,-31,21,41,40853
-2904,-268,16044,17,100,-65,-35,19,41,40888
-2904,-252,16096,28,67,-38,-34,23,44,40923
-2888,-272,16020,10,85,-74,-35,20,43,40958
-2860,-264,16052,11,76,-58,-34,21,41,40993
-2848,-276,16104,45,63,-48,-33,23,43,41029
-2872,-296,15956,-16,87,-58,-34,22,43,41064
-2816,-260,16124,16,81,-57,-34,21,41,41099
-2904,-288,15988,30,68,-59,-32,21,42,41135
-2832,-356,16040,1,76,-75,-33,23,41,41169
-2876,-292,16192,17,67,-42,-32,24,43,41204
-2860,-292,16044,11,71,-50,-34,21,41,41240
-2900,-280,16040,16,34,-60,-35,23,44,41275
-2888,-332,16048,44,79,-32,-34,22,42,41311
-2908,-212,16056,2,65,-69,-33,20,42,41346
-2860,-248,16104,45,73,-51,-33,20,43,41380
-2960,-272,16120,5,67,-39,-32,21,42,41416
-2900,-288,15944,1,62,-71,-35,22,42,41451
-2864,-296,16072,37,63,-56,-34,23,43,41486
-2892,-252,16096,3,89,-32,-35,21,41,41522
-2932,-260,16136,19,47,-59,-34,21,43,41556
-2844,-240,16172,18,79,-63,-33,23,41,41591
-2904,-308,16112,15,47,-67,-33,20,43,41627
-2848,-260,16076,3,50,-89,-34,22,42,41662
-2924,-304,16096,-7,101,-48,-33,21,43,41698
-2808,-208,16088,16,62,-60,-33,23,43,41733
-2836,-268,16116,12,66,-39,-33,21,41,41767
-2892,-296,16044,44,70,-77,-34,21,46,41803
-2832,-284,16116,29,63,-68,-35,21,42,41838
-2932,-240,15984,34,68,-84,-35,20,43,41873
-2876,-244,15972,17,76,-54,-34,22,44,41909
-2908,-316,16048,-7,53,-66,-34,20,42,41944
-2880,-276,16036,26,71,-46,-35,23,43,41979
-2920,-272,16016,8,67,-67,-34,22,43,42014
-2888,-300,16084,44,65,-37,-36,21,42,42049
-2880,-280,16108,35,97,-48,-33,21,42,42085
-2912,-236,16220,14,108,-62,-34,24,42,42120
-2856,-336,16120,-3,55,-34,-33,20,44,42155
-2892,-268,16016,28,62,-33,-33,21,42,42190
-2848,-268,16100,25,85,-52,-34,23,44,42225
-2892,-236,16064,13,68,-37,-33,21,39,42261
-2876,-328,16100,30,64,-61,-33,21,44,42296
-2856,-224,16080,33,50,-74,-33,21,42,42331
-2880,-264,16012,34,45,-43,-33,20,42,42366
-2852,-248,16044,1,57,-103,-34,21,43,42401
-2864,-224,16160,15,61,-52,-34,22,45,42436
-2888,-224,15956,12,75,-44,-34,22,42,42472
-2852,-280,16080,35,58,-40,-33,20,41,42507
-2888,-248,16160,15,48,-75,-34,23,41,42543
-2904,-296,16036,26,58,-45,-33,20,41,42577
-2852,-316,15944,19,73,-34,-33,21,42,42612
-2896,-320,16088,22,73,-63,-33,20,42,42648
-2888,-272,16020,8,83,-66,-35,21,42,42683
-2864,-272,16172,6,61,-54,-35,24,42,42718
-2900,-344,16080,36,82,-56,-33,22,42,42754
-2892,-240,16108,21,63,-54,-34,22,43,42788
-2848,-268,16072,19,64,-48,-34,23,42,42824
-2892,-292,16028,22,92,-14,-33,23,43,42859
-2904,-248,16148,34,83,-72,-34,22,41,42894
-2872,-272,16180,42,90,-56,-33,22,41,42930
-2824,-292,16128,40,87,-67,-35,24,44,42964
-2864,-220,16184,16,76,-34,-34,20,43,42999
-2900,-284,16056,18,32,-95,-33,22,43,43035
-2872,-292,16128,12,69,-67,-33,22,42,43070
-2876,-252,16020,-11,54,-38,-33,21,43,43106
-2848,-292,16108,11,64,-52,-34,21,42,43141
-2852,-264,16008,30,45,-62,-34,19,43,43175
-2896,-328,16124,24,75,-37,-35,22,42,43211
-2840,-292,16076,25,50,-22,-34,21,41,43246
-2856,-224,16120,31,94,-59,-34,21,42,43281
-2868,-248,16040,24,58,-73,-34,23,44,43317
-2896,-256,16104,28,48,-54,-35,22,43,43352
-2908,-268,16152,-10,59,-42,-34,21,42,43387
